এই	ei
সাগরের	shagorer
চারি	chari
পাশে	pashe
অবস্থিত	obosthit
দেশ	desh
গুলি	guli
হল	holo
-	-
চীন	chin
তাইওয়ান	taiwan
ফিলিপাইন্স	phillipines
ব্রুনাই	brunei
মালয়েশিয়া	malaysia
ইন্দোনেশিয়া	indonesia
সিঙ্গাপুর	singapore
ভিয়েতনাম	vietnam
</s>	</s>
বুদ্ধকে	buddhoke
স্নানস্কৃত	snankrito
পানিকে	panike
মারমারা	marmara
খেয়ে	kheye
থাকে	thake
কারণ	karon
মারমাদের	maramader
বিশ্বাস	bisshas
এই	ei
বুদ্ধ	buddho
স্নানস্কৃত	snankrito
পানি	paani
তাদের	tader
শরীরে	shorire
সকল	shokol
রোগমুক্তির	rogimuktir
অবসান	aboshan
করাবে	korabe
</s>	</s>
এটি	eti
রেলওয়ের	railway-r
সম্পত্তি	shompotti
যাইহোক	jayhok
বর্তমানে	bortomane
হ্রদটি	hridti
কনকর্ড	concord
গ্রুপের	grouper
বাবস্থয়াপনায়	byabosthaponay
চিত্তবিনোদন	chittobinodon
পার্ক	park
হিসেবে	hishebe
আছে	ache
</s>	</s>
তেলেগু	telegu
ভাষায়	bhashay
বলা	bola
হয়	hoy
পালাসা	palasa
পালাসাহ	palasah
পালিয়া	paliya
পোলাসা	polasha
</s>	</s>
প্রথম	prothom
রামচন্দ্র	ramchondro
শেখর	sekhar
মদনমোহন	madanmohon
শেখর	sekhar
ও	o
গোপাল	gopal
শেখর	sekhar
নামক	namak
তাঁর	tar
তিন	tin
পুত্র	putro
ছিল	chilo
</s>	</s>
১৯৭১	1971
সালে	saale
মাইকেল	michael
এস	s
হার্ট	hart
যখন	jakhon
যুক্তরাষ্টের	juktorashtrer
ইলিনয়	illinois
বিশ্ববিদ্যালয়ের	bishwobidyaloyer
ছাত্র	chatra
তখন	takhan
তিনি	tini
বিশ্ববিদ্যালয়ের	bishwobidyaloyer
ম্যাটেরিয়ালস	materials
রিসার্চ	research
ল্যাবে	lyabe
আনলিমিটেড	unlimited
কম্পিউটার	computer
ব্যবহারের	byaboharer
সুযোগ	shujog
পান	pan
সে	se
সময়	shomoy
