এই	Ei
সাগরের	shagorer
চারি	chari
পাশে	pashe
অবস্থিত	obosthit
দেশ	desh
গুলি	guli
হল	holo
-	-
চীন,	Chin,
তাইওয়ান,	Taiwan,
ফিলিপাইন্স,	Phillipines,
ব্রুনাই,	Brunei,
মালয়েশিয়া,	Malaysia,
ইন্দোনেশিয়া,	Indonesia,
সিঙ্গাপুর,	Singapore,
ভিয়েতনাম।	Vietnam.
</s>	</s>
বুদ্ধকে	Buddhoke
স্নানস্কৃত	snankrito
পানিকে	panike
মারমারা	marmara
খেয়ে	kheye
থাকে	thake
কারণ	karon
মারমাদের	maramader
বিশ্বাস	bisshas
এই	ei
বুদ্ধ	buddho
স্নানস্কৃত	snankrito
পানি	paani
তাদের	tader
শরীরে	shorire
সকল	shokol
রোগমুক্তির	rogimuktir
অবসান	aboshan
করাবে।	korabe.
</s>	</s>
এটি	Eti
রেলওয়ের	railway-r
সম্পত্তি।	shompotti.
যাইহোক,	jayhok,
বর্তমানে	bortomane
হ্রদটি	hridti
কনকর্ড	Concord
গ্রুপের	Grouper
বাবস্থয়াপনায়,	byabosthaponay
চিত্তবিনোদন	chittobinodon
পার্ক	park
হিসেবে	hishebe
আছে।	ache.
</s>	</s>
তেলেগু	Telegu
ভাষায়	bhashay
বলা	bola
হয়	hoy
পালাসা,	palasa,
পালাসাহ,	palasah,
পালিয়া,	paliya,
পোলাসা।	polasha.
</s>	</s>
প্রথম	Prothom
রামচন্দ্র	Ramchondro
শেখর,	Sekhar,
মদনমোহন	Madanmohon
শেখর	Sekhar
ও	o
গোপাল	Gopal
শেখর	Sekhar
নামক	namak
তাঁর	tar
তিন	tin
পুত্র	putro
ছিল।	chilo.
</s>	</s>
১৯৭১	1971
সালে	saale
মাইকেল	Michael
এস	S
হার্ট	Hart
যখন	jakhon
যুক্তরাষ্টের	Juktorashtrer
ইলিনয়	Illinois
বিশ্ববিদ্যালয়ের	Bishwobidyaloyer
ছাত্র	chatra
তখন	takhan
তিনি	tini
বিশ্ববিদ্যালয়ের	Bishwobidyaloyer
ম্যাটেরিয়ালস	materials
রিসার্চ	research
ল্যাবে	lyabe
