এই সাগরের চারি পাশে অবস্থিত দেশ গুলি হল - চীন, তাইওয়ান, ফিলিপাইন্স, ব্রুনাই, মালয়েশিয়া, ইন্দোনেশিয়া, সিঙ্গাপুর, ভিয়েতনাম।	Ei shagorer chari pashe obosthit desh guli holo - Chin, Taiwan, Phillipines, Brunei, Malaysia, Indonesia, Singapore, Vietnam.
বুদ্ধকে স্নানস্কৃত পানিকে মারমারা খেয়ে থাকে কারণ মারমাদের বিশ্বাস এই বুদ্ধ স্নানস্কৃত পানি তাদের শরীরে সকল রোগমুক্তির অবসান করাবে।	Buddhoke snankrito panike marmara kheye thake karon maramader bisshas ei buddho snankrito paani tader shorire shokol rogimuktir aboshan korabe.
এটি রেলওয়ের সম্পত্তি। যাইহোক, বর্তমানে হ্রদটি কনকর্ড গ্রুপের বাবস্থয়াপনায়, চিত্তবিনোদন পার্ক হিসেবে আছে।	Eti railway-r shompotti. jayhok, bortomane hridti Concord Grouper byabosthaponay chittobinodon park hishebe ache.
তেলেগু ভাষায় বলা হয় পালাসা, পালাসাহ, পালিয়া, পোলাসা।	Telegu bhashay bola hoy palasa, palasah, paliya, polasha.
প্রথম রামচন্দ্র শেখর, মদনমোহন শেখর ও গোপাল শেখর নামক তাঁর তিন পুত্র ছিল।	Prothom Ramchondro Sekhar, Madanmohon Sekhar o Gopal Sekhar namak tar tin putro chilo.
১৯৭১ সালে মাইকেল এস হার্ট যখন যুক্তরাষ্টের ইলিনয় বিশ্ববিদ্যালয়ের ছাত্র তখন তিনি বিশ্ববিদ্যালয়ের ম্যাটেরিয়ালস রিসার্চ ল্যাবে আনলিমিটেড কম্পিউটার ব্যবহারের সুযোগ পান, সে সময় যার আর্থিক মূল্য বিবেচনা করা হয় প্রায় ১০০০০০ ডলারেরও বেশী।	1971 saale Michael S Hart jakhon Juktorashtrer Illinois Bishwobidyaloyer chatra takhan tini Bishwobidyaloyer materials research lyabe unlimited computer byaboharer shujog pan, Se shomoy jar arthik mullo bibechona kora hoy pray 100000 dollerero beshi.
তার ছোট বোন আর্সজুলা রাদভানিস্তাও টেনিস খেলছেন।	Tar choto bon Arsjula Radvanistao tennis khelchen.
শুরুর দিকে কিছুটা ধীর গতিতে কাজ চললে ঐ বছরের বাকী সময়ের মধ্যে ১০০০ পৃষ্ঠা তৈরী হয়।	Shurur dike kichuta dhir gatite kaaj challe oi bachorer baki shomoyer moddhe 1000 pristha toiri hoy.
মমতা বন্দ্যোপাধ্যায় একজন বাগ্মী রাজনীতিবিদ।	Mamata Bondhopadhay akjon bagmi rajneetibid.
এফএ কাপের প্রথম সিজনে ওয়েন্ডেরাস ফুটবল ক্লাব চ্যাম্পিয়ন হয়েছিল।	FA cuper Prothom sijane wanderas football club champion hoyechilo.
ম্যাজিকাল প্রিন্সেন্স মিনকি মোমো: ইউমি নো রোনডো (পিপিরু)	Magical princess minki momo: umi no rondo (pipiru)
১৯৯০ সালের শরৎকালে তিনি এস্তোনীয় টেলিভিশন ও আইন পরিষদ বন্ধ করে দেয়ার জন্য সোভিয়েত কর্তৃপক্ষের নির্দেশ উপেক্ষা করেন।	1990 saaler saratkale tini Estoniyo television o ain porishod bondho kore deyar jonno Soviet kotripokkher nirdesh upekkha koren.
সেটের মত সারিরও সদস্য থাকে, কিন্তু যেখানে একটি সেটে তার সদস্যদের ক্রম গুরুত্বহীন, সেখানে সারির ক্ষেত্রে সদস্যদের ক্রম গুরুত্বপূর্ণ।	Seter moto sariro shadashyo thake, kintu jekhane ekti sete tar sadashyer kram guruttohin, sekhane sarir khetre shadashyoder kram guruttopurno.
