এই সাগরের চারি পাশে অবস্থিত দেশ গুলি হল - চীন, তাইওয়ান, ফিলিপাইন্স, ব্রুনাই, মালয়েশিয়া, ইন্দোনেশিয়া, সিঙ্গাপুর, ভিয়েতনাম।	17	Ei shagorer chari pashe obosthit desh guli holo - Chin, Taiwan, Phillipines, Brunei, Malaysia, Indonesia, Singapore, Vietnam.	17	
বুদ্ধকে স্নানস্কৃত পানিকে মারমারা খেয়ে থাকে কারণ মারমাদের বিশ্বাস এই বুদ্ধ স্নানস্কৃত পানি তাদের শরীরে সকল রোগমুক্তির অবসান করাবে।	19	Buddhoke snankrito panike marmara kheye thake karon maramader bisshas ei buddho snankrito paani tader shorire shokol rogimuktir aboshan korabe.	19	স্নানস্কৃত should be spelt as স্নানকৃত
এটি রেলওয়ের সম্পত্তি। যাইহোক, বর্তমানে হ্রদটি কনকর্ড গ্রুপের বাবস্থয়াপনায়, চিত্তবিনোদন পার্ক হিসেবে আছে।	13	Eti railway-r shompotti. jayhok, bortomane hridti Concord Grouper byabosthaponay chittobinodon park hishebe ache.	13	বাবস্থয়াপনায় should be spelt as ব্যবস্থয়াপনায়
তেলেগু ভাষায় বলা হয় পালাসা, পালাসাহ, পালিয়া, পোলাসা।	8	Telegu bhashay bola hoy palasa, palasah, paliya, polasha.	8	
প্রথম রামচন্দ্র শেখর, মদনমোহন শেখর ও গোপাল শেখর নামক তাঁর তিন পুত্র ছিল।	13	Prothom Ramchondro Sekhar, Madanmohon Sekhar o Gopal Sekhar namak tar tin putro chilo.	13	
১৯৭১ সালে মাইকেল এস হার্ট যখন যুক্তরাষ্টের ইলিনয় বিশ্ববিদ্যালয়ের ছাত্র তখন তিনি বিশ্ববিদ্যালয়ের ম্যাটেরিয়ালস রিসার্চ ল্যাবে আনলিমিটেড	17	1971 saale Michael S Hart jakhon Juktorashtrer Illinois Bishwobidyaloyer chatra takhan tini Bishwobidyaloyer materials research lyabe unlimited	17	
কম্পিউটার ব্যবহারের সুযোগ পান, সে সময় যার আর্থিক মূল্য বিবেচনা করা হয় প্রায় ১০০০০০ ডলারেরও বেশী।	16	computer byaboharer shujog pan, Se shomoy jar arthik mullo bibechona kora hoy pray 100000 dollerero beshi.	16	
তার ছোট বোন আর্সজুলা রাদভানিস্তাও টেনিস খেলছেন।	7	Tar choto bon Arsjula Radvanistao tennis khelchen.	7	
শুরুর দিকে কিছুটা ধীর গতিতে কাজ চললে ঐ বছরের বাকী সময়ের মধ্যে ১০০০ পৃষ্ঠা তৈরী হয়।	16	Shurur dike kichuta dhir gatite kaaj challe oi bachorer baki shomoyer moddhe 1000 pristha toiri hoy.	16	
মমতা বন্দ্যোপাধ্যায় একজন বাগ্মী রাজনীতিবিদ।	5	Mamata Bondhopadhay akjon bagmi rajneetibid.	5	
এফএ কাপের প্রথম সিজনে ওয়েন্ডেরাস ফুটবল ক্লাব চ্যাম্পিয়ন হয়েছিল।	9	FA cuper Prothom sijane wanderas football club champion hoyechilo.	9	
ম্যাজিকাল প্রিন্সেন্স মিনকি মোমো: ইউমি নো রোনডো (পিপিরু)	8	Magical princess minki momo: umi no rondo (pipiru)	8	
১৯৯০ সালের শরৎকালে তিনি এস্তোনীয় টেলিভিশন ও আইন পরিষদ বন্ধ করে দেয়ার জন্য সোভিয়েত কর্তৃপক্ষের নির্দেশ উপেক্ষা করেন।	18	1990 saaler saratkale tini Estoniyo television o ain porishod bondho kore deyar jonno Soviet kotripokkher nirdesh upekkha koren.	18	
সেটের মত সারিরও সদস্য থাকে, কিন্তু যেখানে একটি সেটে তার সদস্যদের ক্রম গুরুত্বহীন, সেখানে সারির ক্ষেত্রে সদস্যদের ক্রম গুরুত্বপূর্ণ।	19	Seter moto sariro shadashyo thake, kintu jekhane ekti sete tar sadashyer kram guruttohin, sekhane sarir khetre shadashyoder kram guruttopurno.	19	
বর্ষাকালে মাঠ পাড়ি দিতেন হাঁটু পানি ভেঙ্গে।	7	Barshakale math pari diten hatu paani bhenge.	7	
তিনি নন্দ শাসকদের অর্জিত ধনসম্পদের বর্ণনা দেন।	7	Tini nanda sashakder arjita dhansampader barnona den.	7	
ত্রিমাত্রিক গঠনে দ্বিমাত্রিক পৃষ্ঠ কাটাকে ছেদ বলে।	7	Trimatrik gathane dimatrik pristho katake ched bole.	7	
রাজশাহী ওয়াসা	2	Rajshahi owasha	2	
ধর্মনিরপেক্ষ সংস্কারের প্রতি একে হুমকি হিসেবে বিবেচনা করা হয়।	9	Dharmaniropekkho shonskarer prati eke humki hishebe bibechona kora hoy.	9	
সেজন্য নতুন তৈরী করা মিডিয়াউইকির আমদানি রপ্তানি ফিচার ব্যবহার করা হয়।	11	Sejonno notun toiri kora mediawikir amdani roptani feature byabohar kora hoy.	11	
একুশে পদক	2	Ekushe padak	2	
১৯৭৪ সনের শেষের দিকে লোকনায়ক জয়প্রকাশের নেতৃত্বে সমগ্র দেশজুড়ে আন্দোলনের সৃষ্টি হয়েছিল।	12	1974 saner shesher dike loknayak Jayprokasher netritte samagra deshjure andoloner sristi hoyechilo.	12	
এরপর ছোট ছেলে মেয়েরা রঙ কালি মেখে বানর, ভালুক প্রভৃতি জন্তু জানোয়ার সেজে বাড়ি বাড়ি গিয়ে টাকা ও খাবার সংগ্রহ করে আনে।	22	Erpor choto chele meyera rong kali mekhe banor, bhaluk probhriti jontu janowar sheje bari bari giye taka o khabar shangraho kore ane.	22	
রথযাত্রা	1	Rathojatra	1	
যেহেতু ইংল্যান্ডের সকল স্তরের দল একে অন্যের বিরুদ্ধে খেলার সুযোগ পায় তাই এই প্রতিযোগিতায় অনেক ছোট দল বড় দলকে প্রতিযোগিতা থেকে বিদায় দিয়ে "জায়ান্ট-কিলার" উপাধি পেতে পারে।	27	Jehetu Englander shakal starer dal ake onner biruddhe khelar shujog pay tai ei protijogitay onek choto boro dalke pratijogita theke biday diye "gaint killer" upadhi pete pare.	27	
বর্তমানে বয়ন শিল্পটি নালগন্ডা জেলার পচাম্পালি, কয়ালগুডাম, চোউতুপল্লা, স্রিরপুরম, ভুবনগিরি, চুইগোট্টালা এবং গলতেপেল্লা ও আরো কিছু নিকটবর্তী গ্রামে বেঁচে আছে।	20	Bortomane bayan shilpoti Nalgonda jelay Pochampali, Koyalgudam, Chowtupalla, Srirpuram, Bhuvangiri, Chuigottala ebong Galtepella o aro kichu nikatborti grame beche ache.	20	
এর ফলে তিনি সর্বোচ্চ সংখ্যক অলিম্পিক স্বর্ণপদক বিজয়ী ক্রীড়াবিদ হিসেবে নিজেকে প্রতিষ্ঠিত করেছেন।	13	Er fole tini sorboccho shonkhyok olympic shornopadak bijoyi krirabid hishebe nijeke protisthito korechen.	13	
এই লাইব্রেরীটিকে একটি জাতীয় হেরিটেজ ঘোষনা করার প্রচেষ্টা চলছে।	9	Ei librarytike ekti jatiyo heritage ghosona korar procheshta cholche.	9	
অতঃপর একশত বছরেরও বেশি সময় এই দ্বীপে কেউ অবতরণে সক্ষম হন নি, অবশেষে ২ ফেব্রুয়ারি ১৯২৯ সালে লারস	18	Atahpar ekshata bacharerero beshi shomoy ei dipe keo abatarane shokkhom hon ni abasheSe 2 February 1929 saale Lars	18	
ক্রিস্টেনসেনের আর্থিক পৃষ্ঠপোষকতায় নীলস লারসেন ও ওলা ওলস্টাডের দ্বিতীয় নরভেজিয়া অভিযান এই দ্বীপে সর্বপ্রথম পৌঁছাতে সক্ষম হয়।	17	Christiansener arthik pristhaposhokatay Neils Larsen o Ola Olastader dwitiyo Norwayjiyo abhijan ei dipe sorboProthom pouchate shokkhom hoy.	17	
