તેઓ	teo
તેમની	temanee
દુરંદેશી	doorandeshee
વાકપટ્ટુતા	vaakpatutaa
વ્યક્તિત્વ	vyaktitva
માટે	maate
ઓળખાતા	olakhaataa
હતા	hataa
</s>	</s>
ઇંદ્રોડા	indrodaa
પ્રકૃતિ	prakruti
શિક્ષણ	shikshana
અભયારણ્ય	abhayaaranya
કે	ke
જે	je
ઇંદ્રોડા	indrodaa
પાર્ક	paarka
તરીકે	tareeke
પણ	pana
ઓળખાય	olakhaaya
છે	che
તે	te
ગુજરાતના	gujaraatanaa
પાટનગર	paatanagara
ગાંધીનગરમાં	gaandheenagaramaam
આવેલું	aavelum
છે	che
</s>	</s>
1964માં	1964maam
જ્યારે	jyaare
ઉત્પલ	utpala
દત્ત	datta
જેલમાં	jelamaa
હતા	hataa
ત્યારે	tyaare
તેમણે	temane
લોહ	loha
માનબ	maanaba
લોહપુરૂષ	lohapuroosha
લખ્યું	lakhyun
</s>	</s>
સામાન્ય	saamaanya
રીતે	reete
કુવાની	kuvaanee
બાજુમાં	baajumaam
હવાડો	havaado
બાંધવામાં	baandhavaamaam
આવે	aave
છે	che
જે	je
બે-ત્રણ	be-trana
ફૂટ	foota
પહોળો	paholo
અને	ane
ચારથી	caarathee
આઠ	aatha
ફૂટ	foota
જેટલી	jetalee
લંબાઇનો	lambaaino
તેમ	tema
જ	ja
એકથી	ekathee
દોઢ	dodha
ફૂટ	foota
ઉંચાઇનો	un̄caaino
હોય	hoya
છે	che
</s>	</s>
આ	aa
માટે	maate
તેને	tene
ક્રોએશિયન	kroeshiyana
ઍન્ડરસનનું	endarasananum
બિરુદ	biruda
પ્રાપ્ત	praapta
થયેલ	thayela
છે	che
</s>	</s>
જો	jo
પુખ્ત	pukhta
મૃત્યુદર	mrutyudara
આ	aa
અનાથોની	anaathonee
સંભાળ	sambhaala
પરિવારની	parivaaranee
જવાબદારી	javaabadaaree
અને	ane
દોષ	dosha
સરકારને	sarakaarane
આપે	aape
તો	to
આ	aa
ખાસ	khaasa
કરીને	kareene
સાચુ	saacu
છે	che
</s>	</s>
ઉપસ્નાતક	upasnaataka
વિદ્યાર્થીઓને	vidyaartheeone
ઉનાળામાં	unaalaamaam
અથવા	athavaa
શિયાળામાં	shiyaalaamaam
ઇન્ટર્નશિપ	intarnashipa
કરવાની	karavaanee
હોય	hoya
છે	che
જેમાં	jemaam
તેઓ	teo
આઇ	aai
</s>	</s>
૧૯૮૭માં	1987maa
બ્રિટેશ	british
વ્યવસાયી	vyavsaayi
રીચાર્ડ	richaard
બેન્સને	bensane
એસનેલને	esnelne
એચ	ech
આઈ	aai
વી	vee
અને	ane
એઈડ્સ	eids
વિરોધી	virodhi
ઝુંબેસમાં	zumbeshmaa
સહાય	sahaay
કરવાની	karvaani
વાત	vaat
કરી	kari
</s>	</s>
મે	me
7ના	7naa
જર્મનીએ	jarmaneee
તેના	tenaa
શરણાગતિના	sharanaagatinaa
સ્વીકૃતિપત્ર	sveekrutipatra
પર	para
હસ્તાક્ષર	hastaakshara
કર્યા	karyaa
અને	ane
એ	e
રીતે	reete
યુરોપમાં	yuropamaam
યુદ્ધ	yuddha
પર	para
પૂર્ણવિરામ	poornaviraama
મુકાયું	mukaayum
</s>	</s>
તેજ	teja
પ્રમાણે	pramaane
નાના	naanaa
લિંગના	linganaa
કદ	kada
અને	ane
મોટા	motaa
કોન્ડોમના	kondomanaa
કદ	kada
ને	ne
લીધે	leedhe
તૂટવાની	tootavaanee
શક્યતા	shakyataa
ઘટે	ghate
છે	che
પણ	pana
સરકી	sarakee
જવાની	javaanee
શક્યતા	shakyataa
વધે	vadhe
છે	che
</s>	</s>
જે	je
કંપની	kampanee
કે	ke
સંસ્થા	sansthaa
જામીનગીરીની	jaameenageereenee
ફાળવણી	faalavanee
કરે	kare
છે	che
તેને	tene
ફાળવણીકાર	faalavaneekaara
કહેવામાં	kahevaamaam
આવે	aave
છે	che
</s>	</s>
ભારતમાં	bhaaratamaam
ત્વચાની	tvacaanee
ઉજળી	ujalee
કે	ke
