ചാൾസ്	charles
തടാകം	thadakom
</s>	</s>
1742-ൽ	1742-il
എളയടത്തു	ilayidathu
സ്വരൂപത്തെ	swarupathe
മാർത്താണ്ഡവർമ്മ	marthandavarma
തിരുവിതാംകൂറിൽ	thiruvithamkooril
ലയിപ്പിച്ചു	layipichu
</s>	</s>
ഡെന്മാർക്ക്	denmark
</s>	</s>
ഗുരുവായൂർ	guruvayur
-	-
പട്ടാമ്പി	pattambi
പൊന്നാനി	ponnani
-	-
പാലക്കാട്	palakad
പാതയിലെ	paathayile
ഒരു	oru
സുപ്രധാന	supradhana
പട്ടണവും	pattanavum
തൃത്താല	thrithala
നിയമസഭാമണ്ഡലത്തിലെ	niyamasabhamandalathile
ഏറ്റവും	yettavum
പ്രധാനപ്പെട്ട	pradhanapetta
വാണിജ്യ	vanijya
കേന്ദ്രം	kendram
കൂടിയാണ്	koodiyan
കൂറ്റനാട്‌	kuttanadu
</s>	</s>
യേശുദാസ്	yesudas
നിത്യശ്രീ	nithyasree
മഹാദേവൻ	mahadevan
വിജയ്	vijay
ശിവ	shiva
സുധാ	sidha
രഘുനാഥൻ	raghunath
അരുണ	arun
സായിറാം	sairam
ഉണ്ണികൃഷ്ണൻ	unnikrishnan
എസ്	s
</s>	</s>
ജ്ഞാനസിദ്ധാന്തികളെ	njanasidhandangale
Epistemologists	epistemologists
പൊതുവേ	pothuve
അവഗണിച്ചതിനും	avaganichathinum
വിശദീകരണമുണ്ടായിരുന്നു	vishadeekaranamundayirunnu
ജ്ഞാനസിദ്ധാന്തത്തെ	njanasidhandathe
തത്ത്വചിന്തയുടെയെന്നതിനേക്കാൾ	thathvachindayudeyennathinekkal
മന:ശാസ്ത്രത്തിന്റെ	mana:shasthrathinte
ഭാഗമായാണ്	bhagamayanu
ഡുറാന്റ്	durant
കണ്ടത്	kandath
</s>	</s>
അങ്കിൾ	uncle
ടോം	tom
എന്ന	yenna
നീഗ്രോ	negro
അടിമയെ	adimaye
മുഖ്യകഥാപാത്രമാക്കി	mukhyakathapathramakki
രചിച്ചിട്ടുള്ള	rachichittulla
ഈ	ee
നോവൽ	novel
അമേരിക്കൻ	american
ഐക്യനാടുകളിൽ	aikyanadukalil
പ്രത്യേകിച്ച്	prathyekich
തെക്കൻ	thekken
സംസ്ഥാനങ്ങളിൽ	samsthanangalil
നിലവിലിരുന്ന	nilavilirunna
