ചാൾസ് തടാകം	Charles thadakom
1742-ൽ എളയടത്തു സ്വരൂപത്തെ മാർത്താണ്ഡവർമ്മ തിരുവിതാംകൂറിൽ ലയിപ്പിച്ചു.	1742-il Ilayidathu Swarupathe Marthandavarma Thiruvithamkooril layipichu.
ഡെന്മാർക്ക്	Denmark
ഗുരുവായൂർ - പട്ടാമ്പി, പൊന്നാനി - പാലക്കാട് പാതയിലെ ഒരു സുപ്രധാന പട്ടണവും തൃത്താല നിയമസഭാമണ്ഡലത്തിലെ ഏറ്റവും പ്രധാനപ്പെട്ട വാണിജ്യ കേന്ദ്രം കൂടിയാണ് കൂറ്റനാട്‌.	Guruvayur - Pattambi, Ponnani - Palakad paathayile oru supradhana pattanavum Thrithala niyamasabhamandalathile yettavum pradhanapetta vanijya kendram koodiyan Kuttanadu.
യേശുദാസ്, നിത്യശ്രീ മഹാദേവൻ, വിജയ് ശിവ, സുധാ രഘുനാഥൻ, അരുണ സായിറാം, ഉണ്ണികൃഷ്ണൻ, എസ്.	Yesudas, Nithyasree Mahadevan, Vijay Shiva, Sidha Raghunath, Arun Sairam, Unnikrishnan, S.
ജ്ഞാനസിദ്ധാന്തികളെ (Epistemologists) പൊതുവേ അവഗണിച്ചതിനും വിശദീകരണമുണ്ടായിരുന്നു: ജ്ഞാനസിദ്ധാന്തത്തെ തത്ത്വചിന്തയുടെയെന്നതിനേക്കാൾ മന:ശാസ്ത്രത്തിന്റെ ഭാഗമായാണ് ഡുറാന്റ് കണ്ടത്.	njanasidhandangale (Epistemologists) pothuve avaganichathinum vishadeekaranamundayirunnu: njanasidhandathe thathvachindayudeyennathinekkal mana:shasthrathinte bhagamayanu Durant kandath.
അങ്കിൾ ടോം എന്ന നീഗ്രോ അടിമയെ മുഖ്യകഥാപാത്രമാക്കി രചിച്ചിട്ടുള്ള ഈ നോവൽ അമേരിക്കൻ ഐക്യനാടുകളിൽ, പ്രത്യേകിച്ച് തെക്കൻ സംസ്ഥാനങ്ങളിൽ നിലവിലിരുന്ന അടിമത്തവ്യവസ്ഥയുടെ തുറന്നുകാട്ടലും നിശിതവിമർശനവുമാണ്.	Uncle Tom yenna Negro adimaye mukhyakathapathramakki rachichittulla ee novel American aikyanadukalil, prathyekich thekken samsthanangalil nilavilirunna adimathavyavasthayude thurannukaattalum nishithavimarshanavumanu.
ആർദ്രഭാവങ്ങൾ	aardrabhavangal
ഏഫിഡുകൾ, മുഞ്ഞ, മിലി മൂട്ട, തണ്ടുതുരപ്പൻ പുഴു, ഇലപ്പേൻ തുടങ്ങിയ കീടങ്ങളെ പുകയില കഷായം ഉപയോഗിച്ച് നിയന്ത്രിക്കാം.	Aphidukal, munja, mili mootta, thanduthurappan puzhu, elappeen thudangiya keedangale pukayila kashayam upayogichu niyandrikkam.
സ്പാനിഷ് സിംഹാസനത്തിൽ സ്വന്തം സഹോദരൻ ജോസെഫിനെ പ്രതിഷ്ഠിച്ചു .	Spanish simhasanathil swantham sahodharan Josephine pradishttichu .
പൈപ്പർ ഐലന്റ്സ് ദേശീയോദ്യാനം ആസ്ത്രേലിയയിലെ ഫാർ നോർത്ത് ക്യൂൻസ് ലാന്റിലുള്ള ഒരു ദേശീയോദ്യാനമാണ്.	Piper Island deshiyodhyanam Australiayile far north Queens landilulla oru deshiyodhyanaman.
മൊഹമ്മദ് ആല	Muhammad Ala
കൊട്ടാരക്കര ശ്രീധരൻ നായർ	Kottarakara Sreedharan Nair
ലങ്കാഷെയറിലെ ബ്ലാക്ക്പൂളിൽ കാരെൻ, കെയ്ത് കോൾമാൻ എന്നിവരുടെ പുത്രിയായി ജെന്ന കോൾമാൻ ജനിച്ചു.	Lancashirile Blackpoolil Karen, Keith Coleman ennivarude puthriyaye Jenny Coleman jenichu.
ബങ്കാ കടലിടുക്ക് വേർതിരിക്കപ്പെടുന്ന സുമാത്രയുടെ കിഴക്കൻ തീരത്തോട് അടുത്താണ് ബങ്കാ സ്ഥിതിചെയ്യുന്നത്.	Banga kadalidukk verthirikkappedunna Sumatrayude kizhakkan theerathod aduthanu Banga sthithicheyunnathu.
കട്ടക്ക് (ജഗത്പൂർ)-സാലിപ്പൂർ ഹൈവേ, നാഷണൽ ഹൈവേ 5, 5-എ എന്നീ റോഡുകളിലൂടെ ചാന്ദിഖോൾ, ഛാത്ത, പരദിപ് എന്നീ പട്ടണങ്ങളിലുടെ സഞ്ചരിച്ച് കേന്ദ്രപ്പാറയിലെത്തിച്ചേരാൻ സാധിക്കുന്നതാണ്.	Cuttak (Jagatpur)-Salipur Highway, National Highway 5, 5-A ennee roadikaliloode Chandikhol, Chaththa, Paradeep yennee pattanangaliloode sanjarichu kendraparayilethicheran sadhikkunnathanu.
ശരീരം വിഘടീക്കുമ്പോൾ മനുഷ്യൻ ഇല്ലാതെയാകുന്നു.	shareeram vikhadikkumbol manushyan ellaatheyakunnu.
പത്താം നൂറ്റാണ്ടിൽ ഷാ നാമെ എന്ന പേരിൽ തന്നെ നിരവധി ഗ്രന്ഥങ്ങൾ രചിക്കപ്പെട്ടിട്ടുണ്ട്.	pathaam noottandil Sha Namey yenna peril thanne niravadhi grandhangal rachikkapettitundu.
