ചാൾസ് തടാകം	2	Charles thadakom	2	
1742-ൽ എളയടത്തു സ്വരൂപത്തെ മാർത്താണ്ഡവർമ്മ തിരുവിതാംകൂറിൽ ലയിപ്പിച്ചു.	6	1742-il Ilayidathu Swarupathe Marthandavarma Thiruvithamkooril layipichu.	6	
ഡെന്മാർക്ക്	1	Denmark	1	
ഗുരുവായൂർ - പട്ടാമ്പി, പൊന്നാനി - പാലക്കാട് പാതയിലെ ഒരു സുപ്രധാന പട്ടണവും തൃത്താല നിയമസഭാമണ്ഡലത്തിലെ ഏറ്റവും പ്രധാനപ്പെട്ട വാണിജ്യ കേന്ദ്രം കൂടിയാണ് കൂറ്റനാട്‌.	18	Guruvayur - Pattambi, Ponnani - Palakad paathayile oru supradhana pattanavum Thrithala niyamasabhamandalathile yettavum pradhanapetta vanijya kendram koodiyan Kuttanadu.	18	
യേശുദാസ്, നിത്യശ്രീ മഹാദേവൻ, വിജയ് ശിവ, സുധാ രഘുനാഥൻ, അരുണ സായിറാം, ഉണ്ണികൃഷ്ണൻ, എസ്.	11	Yesudas, Nithyasree Mahadevan, Vijay Shiva, Sidha Raghunath, Arun Sairam, Unnikrishnan, S.	11	
ജ്ഞാനസിദ്ധാന്തികളെ (Epistemologists) പൊതുവേ അവഗണിച്ചതിനും വിശദീകരണമുണ്ടായിരുന്നു: ജ്ഞാനസിദ്ധാന്തത്തെ തത്ത്വചിന്തയുടെയെന്നതിനേക്കാൾ മന:ശാസ്ത്രത്തിന്റെ ഭാഗമായാണ് ഡുറാന്റ് കണ്ടത്.	11	njanasidhandangale (Epistemologists) pothuve avaganichathinum vishadeekaranamundayirunnu: njanasidhandathe thathvachindayudeyennathinekkal mana:shasthrathinte bhagamayanu Durant kandath.	11	
അങ്കിൾ ടോം എന്ന നീഗ്രോ അടിമയെ മുഖ്യകഥാപാത്രമാക്കി രചിച്ചിട്ടുള്ള ഈ നോവൽ അമേരിക്കൻ ഐക്യനാടുകളിൽ, പ്രത്യേകിച്ച് തെക്കൻ സംസ്ഥാനങ്ങളിൽ നിലവിലിരുന്ന അടിമത്തവ്യവസ്ഥയുടെ തുറന്നുകാട്ടലും നിശിതവിമർശനവുമാണ്.	18	Uncle Tom yenna Negro adimaye mukhyakathapathramakki rachichittulla ee novel American aikyanadukalil, prathyekich thekken samsthanangalil nilavilirunna adimathavyavasthayude thurannukaattalum nishithavimarshanavumanu.	18	
ആർദ്രഭാവങ്ങൾ	1	aardrabhavangal	1	
ഏഫിഡുകൾ, മുഞ്ഞ, മിലി മൂട്ട, തണ്ടുതുരപ്പൻ പുഴു, ഇലപ്പേൻ തുടങ്ങിയ കീടങ്ങളെ പുകയില കഷായം ഉപയോഗിച്ച് നിയന്ത്രിക്കാം.	13	Aphidukal, munja, mili mootta, thanduthurappan puzhu, elappeen thudangiya keedangale pukayila kashayam upayogichu niyandrikkam.	13	
സ്പാനിഷ് സിംഹാസനത്തിൽ സ്വന്തം സഹോദരൻ ജോസെഫിനെ പ്രതിഷ്ഠിച്ചു .	7	Spanish simhasanathil swantham sahodharan Josephine pradishttichu .	7	
പൈപ്പർ ഐലന്റ്സ് ദേശീയോദ്യാനം ആസ്ത്രേലിയയിലെ ഫാർ നോർത്ത് ക്യൂൻസ് ലാന്റിലുള്ള ഒരു ദേശീയോദ്യാനമാണ്.	10	Piper Island deshiyodhyanam Australiayile far north Queens landilulla oru deshiyodhyanaman.	10	
മൊഹമ്മദ് ആല	2	Muhammad Ala	2	
കൊട്ടാരക്കര ശ്രീധരൻ നായർ	3	Kottarakara Sreedharan Nair	3	
ലങ്കാഷെയറിലെ ബ്ലാക്ക്പൂളിൽ കാരെൻ, കെയ്ത് കോൾമാൻ എന്നിവരുടെ പുത്രിയായി ജെന്ന കോൾമാൻ ജനിച്ചു.	10	Lancashirile Blackpoolil Karen, Keith Coleman ennivarude puthriyaye Jenny Coleman jenichu.	10	
ബങ്കാ കടലിടുക്ക് വേർതിരിക്കപ്പെടുന്ന സുമാത്രയുടെ കിഴക്കൻ തീരത്തോട് അടുത്താണ് ബങ്കാ സ്ഥിതിചെയ്യുന്നത്.	9	Banga kadalidukk verthirikkappedunna Sumatrayude kizhakkan theerathod aduthanu Banga sthithicheyunnathu.	9	
