ਨੌਜਵਾਨ	naujavaan
ਅਲੈਕਸਿਸ	alexis
ਨੂੰ	nu
ਇੱਕ	ikk
ਪ੍ਰਵਾਸੀ	pravaasi
ਦੀ	di
ਤਰ੍ਹਾਂ	tarhaan
ਮਹਿਸੂਸ	mahisus
ਹੋਇਆ	hoya
ਅਤੇ	ate
ਉਸ	us
ਨੇ	ne
ਜ਼ਿਆਦਾਤਰ	zyadaatar
ਸਮਾਂ	samaa
ਹਾਈਕਿੰਗ	hiking
ਫੈਂਸਿੰਗ	fencing
ਘੋੜ	ghorh
ਸਵਾਰੀ	savaari
ਅਤੇ	ate
ਅਟਲਾਂਟਿਕ	atlantic
ਵਿੱਚ	vich
ਸਮੁੰਦਰੀ	samundari
ਯਾਤਰਾ	yaatra
ਕਰਨ	karan
ਵਿੱਚ	vich
ਬਤੀਤ	batit
ਕੀਤਾ	kita
</s>	</s>
ਫਰੀਡਾ	faridaa
ਕਾਹਲੋ	kaahalo
ਦੇ	de
ਰਿਵੇਰਾ	riveraa
ਮਾਗਦਾਲੇਨਾ	maagadaalenaa
ਕਾਰਮੇਨ	kaaramen
ਫਰਿਏਡਾ	fariedaa
ਕਾਹਲੋ	kaahalo
ਵਾਈ	vaai
ਕਾਲਦੇਰੋਨ	kaaladeron
ਵਜੋਂ	vajon
ਜਨਮੀ	janami
6	6
ਜੁਲਾਈ	july
1907	1907
-	-
13	13
ਜੁਲਾਈ	july
1954	1954
ਕੋਯੋਆਕਾਨ	koyoaakaan
ਵਿੱਚ	vich
ਪੈਦਾ	paidaa
ਹੋਈ	hoi
ਇੱਕ	ikk
ਮੈਕਸੀਕਨ	mexican
ਚਿੱਤਰਕਾਰ	chittarakaar
ਸੀ	si
ਜੋ	jo
ਆਪਣੇ	aapne
ਆਤਮ	aatam
ਚਿਤਰਾਂ	chitaraan
ਲਈ	lai
ਪ੍ਰਸਿਧ	prasidh
ਸੀ	si
</s>	</s>
ਸੁਤੰਤਰਤਾ	sutantartaa
ਅੰਦੋਲਨ	andolan
ਦੇ	de
ਇਤਿਹਾਸਕ	itehaasak
ਦਬਾਅ	dabaa
ਕਾਰਨ	kaaran
ਹੀ	hi
ਵੱਖੋ-ਵੱਖਰੇ	vakkho-vakkhare
ਵਿਚਾਰਾਂ	vichaaraan
ਵਾਲੇ	vaale
ਲੇਖਕ	lekhak
ਅਤੇ	ate
ਬੁੱਧੀਜੀਵੀ	buddhijivi
ਪ੍ਰਗਤੀਸ਼ੀਲ	pragatishil
ਲੇਖਕ	lekhak
ਸੰਘ	sangh
ਨਾਲ	naal
ਜੁੜੇ	jurhe
ਰਹਿੰਦੇ	rehande
ਹਨ	han
</s>	</s>
ਸ਼ਾੲਿਦ	shaaid
ਮੇਰੀ	meri
ਕੁੱਖ	kukkh
ਦੀ	di
