پاڪستان	Pakistan
جي	je
ٺھڻ	thhnr
کان	khan
پوءِ	poi
بلوچستان	balochistan
۾	men
’براهوئي	'bruhoie
رائٽرس	writers
گلڊ‘	guild'
قائم	qaaim
ٿي	thi
آهي؛	ahe,
پر	para
اسڪولن	school
۾	men
اڃا	ajan
بروهي	brohe
زبان	zibaan
رائج	raij
ڪو	ko
نه	na
ٿي	thi
آهي.	ahe.
</s>	</s>
هندو	hindu
اَسؤَ	aasaoa
مهيني	mahine
جا	jaa
پهريان	phareuna
نَوَ	naoa
ڏينهن	denhan
روزا	roza
رکندا	rakhanda
آهن،	ahin,
جي	je
”ايڪهڻا“	"aekhnra"
سڏبا	saduba
آهن.	ahin.
</s>	</s>
ماءُ	maau
جي	je
فوت	fot
ٿي	thi
وڃڻ	wajan
ڪري	kare
سندس	sandas
پالنا	palna
ناناڻن	nunaunun
ڪئي.	kai.
</s>	</s>
پاري	paare
ننگر	nngr
کي	khe
جڏھن	jadahin
دھليءَ	dhlea
جي	je
مسلمان	musalman
فوجن	fojan
١٢٢٦ع	1226
۾	men
تباھ	tbah
۽	aen
برباد	brbad
ڪيو،	kayo,
تھ	ta
اتان	utaan
جو	jo
واپاري	wapari
طبقو	tbko
لڏي	lade
اچي	ache
ڀوڏيسر	bhwadesir
۾	men
آباد	aabad
ٿيو.	thiyo.
</s>	</s>
ڊي	di
ڪارٽ	kaartt
جي	je
سخت	sakht
فلاسافيءَ	flaasaafeea
جي	je
ڪري	kare
ماديت	madet
کي	khe
هڪ	hiku
نئين	naen
جواني	jawaane
ملي.	mile.
</s>	</s>
هن	hin
جي	je
قتل	qatal
عام	aam
جي	je
ڪري	kare
ايترو	aetro
ڊڄي	dje
ويا	wiya
هئا،	huwa,
جو	jo
سندس	sandas
لشڪر	lashkar
جي	je
اچڻ	achanu
جو	jo
ٻڌي	budhi
نڪري	nikre
هليا	haliya
ويا.	wiya.
</s>	</s>
اندروني	andarone
شورشن	shorshn
کي	khe
به	bi
ٻنجو	binjo
ڏنائين	dinaain
۽	aen
ماڻهن	manhun
مس	masa
مس	masa
سک	sukh
جو	jo
ساهه	saahu
کنيو.	khanyo.
</s>	</s>
ڌرم	dharam
جي	ji
ڪابہ	ka ba
ھڪڙي	hikri
معني	manya
ناھي	nahe,
ھندو ازم،	hinduism,
سک ازم،	sikhism,
ٻڌازم	budhism,
۽	aen
جين ازم	jenism
۾	main
ھن	hin
لفظ	lafz
جون	jun
مختلف	mukhtlif
معنائون	manaoon
آهن	aahin
ڌرم	dharam
لفظ	lafz
جو	jo
ويسٽرن	western
ٻولين	bolyan
۾	main
ڪنھن	kehn
ھڪڙي	hikde
لفظ	lafz
سان	san
ترجمو	tarjmo
ممڪن	mumkin
ناهي .	nahy.
</s>	</s>
لاٽون	laatton
ڦيرائڻ	pherainr
کان	khan
گُڏي	gude
پرڻائڻ	paranrainr
تائين	taaen
ٻالجتيءَ	baljitea
جون	joon
سڀئي	sabhai
رانديون	raandieon
۽	aen
وندرون	ondaruon
ٻاراڻي	baraani
ادب	adabu
۽	aen
شاعريءَ	shaairia
جو	jo
موضوع	mozou
رهيون	rahiyun
آهن،	ahin,
جيڪي	jeke
هر	har
ماڻهوءَ	manhoa
جي	je
ننڍپڻ	nndhpinu
جي	je
ساروڻين	saarwanuen
جو	jo
حصو	hiso
آهن.	ahin.
</s>	</s>
بعد	baad
۾	men
ڏکڻ-اولهه	dakhanuolaha
ڏانهن	daanhan
رخ	rukh
کي،	khe,
ٺٽي	thate
ڏانهن	daanhan
منهن	munhin
ڪري	kare
ٿو.	tho.
</s>	</s>
اها	uha
اندرين	andaren
سوجهي	swijhe
هڪ	hiku
الاهي	alaahe
ڏات	dat
آهي،	ahe,
جنهن	jahin
جو	jo
ذات	zaat
پات	pat
سان	saan
ڪوبه	kobi
لاڳاپو	laguapo
ڪونهي.	konhe.
</s>	</s>
جنهن	jahin
سندس	sandas
ترڪ	trk
سردارن	sardaarn
کي	khe
ناراض	naraz
ڪري	kare
وڌو.	wadho.
</s>	</s>
ٻيو	biyo
قسم	qasam
ڳاڙهي	gadrhe
رنگ	rang
جو	jo
ٿيندو	thindo
آهي.	ahe.
</s>	</s>
انهن	unhan
۾	men
گهڻا	ghanaa
رستا	rsataa
پنجاب	panaab
۽	aen
سرحد	sirhada
صوبن	sobin
۾	men
هئا.	huwa.
