پاڪستان جي ٺھڻ کان پوءِ بلوچستان ۾ ’براهوئي رائٽرس گلڊ‘ قائم ٿي آهي؛ پر اسڪولن ۾ اڃا بروهي زبان رائج ڪو نه ٿي آهي.	24	Pakistan je thhnr khan poi balochistan men 'bruhoie writers guild' qaaim thi ahe, para school men ajan brohe zibaan raij ko na thi ahe.	24		
هندو اَسؤَ مهيني جا پهريان نَوَ ڏينهن روزا رکندا آهن، جي ”ايڪهڻا“ سڏبا آهن.	14	hindu aasaoa mahine jaa phareuna naoa denhan roza rakhanda ahin, je "aekhnra" saduba ahin.	14		
ماءُ جي فوت ٿي وڃڻ ڪري سندس پالنا ناناڻن ڪئي.	10	maau je fot thi wajan kare sandas palna nunaunun kai.	10		
پاري ننگر کي جڏھن دھليءَ جي مسلمان فوجن ١٢٢٦ع ۾ تباھ ۽ برباد ڪيو، تھ اتان جو واپاري طبقو لڏي اچي ڀوڏيسر ۾ آباد ٿيو.	25	paare nngr khe jadahin dhlea je musalman fojan 1226 men tbah aen brbad kayo, ta utaan jo wapari tbko lade ache bhwadesir men aabad thiyo.	25		
ڊي ڪارٽ جي سخت فلاسافيءَ جي ڪري ماديت کي هڪ نئين جواني ملي.	13	di kaartt je sakht flaasaafeea je kare madet khe hiku naen jawaane mile.	13		
هن جي قتل عام جي ڪري ايترو ڊڄي ويا هئا، جو سندس لشڪر جي اچڻ جو ٻڌي نڪري هليا ويا.	20	hin je qatal aam je kare aetro dje wiya huwa, jo sandas lashkar je achanu jo budhi nikre haliya wiya.	20		
اندروني شورشن کي به ٻنجو ڏنائين ۽ ماڻهن مس مس سک جو ساهه کنيو.	14	andarone shorshn khe bi binjo dinaain aen manhun masa masa sukh jo saahu khanyo.	14		
ڌرم جي ڪابہ ھڪڙي معني ناھي ھندو ازم، سک ازم، ٻڌازم ۽ جين ازم ۾ ھن لفظ جون	18	dharam ji ka ba hikri manya nahe, hinduism, sikhism, budhism, aen jenism main hin lafz jun	16	ڌرم جي ڪابہ ھڪڙي معني ناھي ھندوازم، سک ازم، ٻڌازم ۽ جينازم ۾ ھن لفظ جون	Added the space between 2 words ھندوازم and جينازم ۾
مختلف معنائون آهن ڌرم لفظ جو ويسٽرن ٻولين ۾ ڪنھن ھڪڙي لفظ سان ترجمو ممڪن ناهي .	17	mukhtlif manaoon aahin dharam lafz jo western bolyan main kehn hikde lafz san tarjmo mumkin nahy.	16	مختلف معنائون آهن ڌرم لفظ جو ويسٽرن ٻولين ۾ ڪنھن ھڪڙي لفظ سان ترجمو ممڪن ناهي.	Removed extra space before the full stop.
لاٽون ڦيرائڻ کان گُڏي پرڻائڻ تائين ٻالجتيءَ جون سڀئي رانديون ۽ وندرون ٻاراڻي ادب ۽ شاعريءَ جو موضوع رهيون آهن، جيڪي هر ماڻهوءَ جي ننڍپڻ جي ساروڻين جو حصو آهن.	30	laatton pherainr khan gude paranrainr taaen baljitea joon sabhai raandieon aen ondaruon baraani adabu aen shaairia jo mozou rahiyun ahin, jeke har manhoa je nndhpinu je saarwanuen jo hiso ahin.	30		
بعد ۾ ڏکڻ-اولهه ڏانهن رخ کي، ٺٽي ڏانهن منهن ڪري ٿو.	11	baad men dakhanuolaha daanhan rukh khe, thate daanhan munhin kare tho.	11		
اها اندرين سوجهي هڪ الاهي ڏات آهي، جنهن جو ذات پات سان ڪوبه لاڳاپو ڪونهي.	15	uha andaren swijhe hiku alaahe dat ahe, jahin jo zaat pat saan kobi laguapo konhe.	15		
جنهن سندس ترڪ سردارن کي ناراض ڪري وڌو.	8	jahin sandas trk sardaarn khe naraz kare wadho.	8		
ٻيو قسم ڳاڙهي رنگ جو ٿيندو آهي.	7	biyo qasam gadrhe rang jo thindo ahe.	7		
انهن ۾ گهڻا رستا پنجاب ۽ سرحد صوبن ۾ هئا.	10	unhan men ghanaa rsataa panaab aen sirhada sobin men huwa.	10		
سندس انسيت جي ايم سيد، شيخ عبدالمجيد سنڌي ۽ ذوالفقار علي ڀٽي سان گهڻي هئي.	15	sandas ansyat jee aen sayed, shaikh Abdul Majeed sindhi aen Zulfiqaar Ali Bhati saan ghani hui.	16	سندس انسيت جي ايم سيد، شيخ عبد المجيد سنڌي ۽ ذوالفقار علي ڀٽي سان گهڻي هئي.	Added the space between 2 words عبد and المجيد
