තන්ත්‍රයන්ට	Thanthrayanta
අනුව	anuwa
මහා	maha
තත්ත්වය	thathwaya
(පරබ්‍රහ්මන්)	(parabrahman)
ද්විත්වයන්	dwithwayan
මත	matha
රඳා	randa
පවතී.	pawathee.
</s>	</s>
ඔහු	Ohu
මෙම	mema
තරඟාවලියේදි	tharangawaliyedi
කණ්ඩායමේ	kandayame
අනිත්	anith
තරඟකරුවන්	tharangakaruwan
වූ	wu
නවසීලන්තය	nawaseelanthaya
සහ	saha
කෙන්යාවට	kenyawata
එරෙහිව	erehiwa
අර්ධ	ardha
ශතක	shathaka
දෙකක්	dekka
ලබා	laba
ගත්තේය.	gaththeya.
</s>	</s>
2011	2011
ඔක්තෝබර්	Octhobar
මස	masa
අභාවප්‍රාප්ත	abhawapraptha
වන	wana
විට	wita
හෙතෙම	hethema
එම	ema
ලිපි	lipi
පෙළ	pela
පොතක්	pothak
වශයෙන්	washayen
මුද්‍රණය	mudranaya
කිරීමට	kireemata
සූදානම්	soodanam
වෙමින්	wemin
සිටියේ	sitiye
ය.	ya.
</s>	</s>
උකුකල	Uku kala
කිරි	kiri
නිපදවීමේ	nipadaweeme
ක්‍රියාවලිය	kriyawaliya
බෝර්ඩන්	Borden
පවුල	pawula
විසින්	wisin
සොයාගන්නා	soyaganna
ලද	lada
අතර	athara
ඒ	e
සඳහා	sandaha
ඔවුන්ට	owunta
පේටන්ට්	patent
බලපත්‍රයක්ද	balapathrayakda
තිබී	thibee
ඇත.	atha.
</s>	</s>
ශරීරය	Shareeraya
මධ්‍යයෙහි	madhyayehi
රතු	rathu
පාට	pata
තිත් ද	thithda
සමහර	samahara
අවස්ථා	awastha
වල	wala
කහ	kaha
පැහැති	pahathi
තිත්ද	thith da
දැකීමට	dakeemata
පුලුවන.	puluwana.
</s>	</s>
එමෙන්ම	Emenma
රක්‌ෂිත	rakshitha
වන	wana
කලාපයට	kalapayata
අයත්	ayath
ප්‍රදේශයක්‌ද	pradeshayakda
වේ.	we.
</s>	</s>
මෙම	Mema
පෙදෙසෙහි	pedesehi
සෙමෙන්	semen
සිදුවන	siduwana
වාත	watha
පිරිවැටුම	piriwatuma
භාවිතයෙන්	bhawithayen
ආශ්වාස	ashwasa
වාතය	wathaya
ආර්ද්‍රකරණය	ardrakaranaya
සහ	saha
රත්කිරීම.	rathkireema.
</s>	</s>
නමුත්	Namuth
2015	2015
මැයි	may
මස	masa
ඔහු	ohu
කතාමාලාව	kathamalawa
අත්හැර	athhara
ගියේ	giye
ය.	ya.
</s>	</s>
අතිගරු	Athigaru
ජනාධිපති	janadhipathi
මහින්ද	Mahinda
රාජපක්ෂ	Rajapaksa
මහතා	mahatha
2006	2006
සැප්තැම්බර්	sapthamber
මස	masa
13	13
වන	wana
දිනැති	dinathi
ගැසට්	gazzette
නිවේදන	newedana
අංක	anka
1462/20	1462/20
මගින්	magin
මුළු	mulu
ග්‍රාම	grama
ආරක්ෂක	arakshaka
සේවය	sewaya
ප්‍රතිවයුහගත	prahtiviyuhagatha
කොට	kota
සිවිල්	civil
ආරක්ෂක	arakshaka
දෙපාර්තමේන්තුව	departhamenthuwa
ස්ථාපිත	sthapitha
කරන	karana
ලදී.	ladee.
</s>	</s>
මොණරා	Monara
</s>	</s>
මොහොමඩ්	Mohamed
අලිජින්නාගේ	Alijinnage
මුරණ්ඩු	murandu
ක්‍රියාකලාපය	kriyakalapaha
නිසා	nisa
ඉන්දියාව	indiyawa
දෙකඩ	dekada
වන	wana
බව	bawa
හේ	he
කියා	kiya
සිටියේ	sitiye
ය.	ya.
</s>	</s>
තල්	Thal
ශාකයට	shakayata
අවුරුදු	awurudu
100කට	100kata
වඩා	wada
ජීවත්	jeewath
විය	wiya
හැක.	heka.
</s>	</s>
ක්රිස්තියානි	Christiyani
සහ	saha
යුදෙව්	yudew
ආගම	agama
ප්රධාන	pradhana
ලිපිය:	lipiya:
ක්රිස්තියානි	christiyani
සහ	saha
යුදෙව්	yudew
ආගම	agama
මෙයද	meyada
බලන්න:	balanna:
ක්රිස්තියානි	christiyani
සහ	saha
antisemitism	antisemitism
සහ	saha
ක්රිස්තියානි-යුදෙව්	Christiyani-yudew
සංහිඳියාව	sanhindiyawa
ක්රිස්තියානි	christiyani
ධර්මය	dharmaya
මුලින්ම	mulinma
දෙවන	dewana
අරලියගහ	araliyagaha
යුදෙව්	yudew
ආගම	agama
ඇදහීම,	adaheema,
නමුත්	namuth
ආගම්	agam
දෙකක්	dekak
පළමු	palamu
සියවසේ	siyawase
අපසරනය.	apasaranaya.
</s>	</s>
වීරසිංහම්	Weerasingham
ශාලාව	shalawa
යාපනය	yapanaya
පිහිටි	pihiti
මහජන	mahajana
ශාලාවක්/කාර්යාල	shalawak/karyala
ගොඩනැගිල්ලක්	godanegillak
වේ.	we.
</s>	</s>
(පෙබරවාරි	(february
17	17
දින	dina
සොන්දොක්	sondoth
රැජින	rajina
මියගියා	miyagiya
ය.	ya.
අනතුරුව	Anathuruwa
ජින්දොක්	jindoth
සිල්ලාවේ	sillawe
රැජින	rajina
ලෙස	lesa
රාජ්‍යත්වයට	rajyathwayata
පත්වූවා	pathwoowa
ය)	ya)
</s>	</s>
ජලයේ	Jalaye
හා	ha
භූමියේ	bhoomiye
සංවර්ධනයත්	sanwardanayath
ග්‍රාමීය	grameeya
වැව්වල	wewwala
නඩත්තුව	nadaththuwa
හා	ha
වර්ධනයත්	wardanayath
සමස්ත	samastha
සිංහල	sinhala
ශිෂ්ටාචාරය	shistacharaya
හා	ha
ආර්ථීක	arthika
වර්ධනයත්	wardanayath
හැඩගැස්වුයේය.	hedagaswooyeya.
</s>	</s>
ස්වාමීනි,	Swamini,
භාග්‍යවතුන්	bhaghawathun
වහන්සේ	wahanse
හීනවූ	heenawoo
ග්‍රාම්‍යවූ	gramayawoo
පෘථග්ජනයන්ට	pruthagjanayanta
අයිතිවූ,	aiythiwoo,
ආර්යය	aarya
නොවූ	nowoo,
අනර්ථ	anartha
සහිතවූ	sahithawoo
කාමසුඛල්ලිකානු	kamasukallikanu
යෝගයෙහි	yogayehi
(කාම	(kama
සැපයේ	sepaye
ඇලීමෙහි)	aleemehi)
නොයෙදුනේ	noyedune
වෙයි.	wei.
</s>	</s>
ඉරණමඩු	Iranamadu
හන්දිය	handiya
මුදා	muda
ගැනීම	ganeema
හේතුවෙන්	hethuwen
යුධ	yuda
හමුදාවට	hamudawata
කිලිනොච්චියට	kilinochchiyata
ඇතුළු	athulu
වීමට	weemata
දකුණු	dakunu
ගොඩබිම්	godabim
පිවිසුම්	pivisum
මාර්ගයක්ද	margayakda
විවෘත	vivurtha
විය.	viya.
</s>	</s>
කාසලින්	Kasalin
කරන්	karan
අවස්ථාවේදී	awasthawedi
පමණක්	pamanak
එක්	ek
වර	wara
ඉත්තන්	iththan
දෙදෙනෙකු	dedeneku
එහා	eha
මෙහා	meha
ගෙන	gena
යා	ya
හැකිය.	hekiya.
</s>	</s>
මෙතෙක්	Methek
දෙමාපිය	demapiya
ආරක්ෂාව	arakshawa
යටතේ	yatathe
සිටි	siti
ළමයා	lamaya
ළමාවිය	lamawiya
අතහැර	athahera
දමා	dama
ස්වාධීන	swadeena
වීමටත්	weematath
තමාගේ	thamage
ආරක්ෂාව	arakshawa
සලසා	salasa
ගනිමින්	ganimin
බැහැරට	beharata
යාමට	yamata
හැකියාව	hekiyawa
ලබාගන්නා	labaganna
අවධිය	awadiya
ලෙසත්	lesath
නව	nawa
යොවුන්	yowun
විය	viya
හැදින්වේ.	hendinwe.
</s>	</s>
එතැනදී	Ethanadi
ඔහුගේ	ohuge
සාර්ථකත්වය	sarthakathwaya
ගැන	gena
නොසලකා	nosalaka
බෝල්කනයේ	bolkanaye
පසුකාලීන	pasukaleena
ක්‍රියාකලාපය	kriyakalapaya
පිලිබඳව	pilibandawa
ඔහුව	ohuwa
තරයේ	tharaye
විවේචනය	wivechanaya
කරන	karana
ලදී.	ladee.
</s>	</s>
නමුත්	Namuth
ඔහු	ohu
විසින්	wisin
1592	1592
සිට	sita
1636	1636
අතර	athara
කාලයේ	kalaye
රාජ්‍යයට	rajyayata
ඇති	athi
වූ	woo
ආක්‍රමණ	akramana
හමුවේ,	hamuwe,
යුධ	yuda
හමුදාව	hamudawa
පුළුල්	pulul
කිරීම	kireema
බුද්ධිමත්	buddimath
තීරණයක්	theeranayak
යැයි	yai
සැලකේ.	selake.
</s>	</s>
මේවා	Mewa
විසින්	wisin
බොහෝ	boho
විට	wita
ඇඟවෙනුයේ,	angawenuye,
රාජකීය	rajakeeya
ගුප්තවරුන්ගේ	gupthawarunge
මස්තකප්‍රාප්තියට	masthakaprapthiyata
ඒක්ෂණයෙහි	ekshanayehi
ලිච්චවීවරුන්	lichchawiwarun
විසින්	wisin
මගධය	maghadaya
අධිවාසනය	adiwasanaya
කල	kala
බවක්	bawak
වුවද,	wuwada,
එය	eya
ඔප්පු	oppu
කිරීමට	kireemata
සෘජු	riju
සාක්ෂි	sakshi
නොමැත.	nometha.
</s>	</s>
ප‍්‍රථමයෙන්	Prathamayen
කතා	katha
කළ	kala
පරිදි	paridi
රෝගි	rogee
වීම	weema
තුළ	thula
සමාජ	samaja
පර්යාය	paryaya
බිඳ	binda
වැටේ.	wete.
</s>	</s>
අනෙකුත්	Anekuth
ප්රකාශ	prakasha
කර	kara
ඇති	athi
හා	ha
මතුවෙමින්	mathuwemin
පවතින	pawathin
තාක්ෂණික	thakshanika
ක්රම	krama
ද	da
භූ	bhoo
විද්යාත්මක	vidyathmaka
යෙදුම්වල	yedumwala
භාවිතා	bhawitha
වේ.	we.
</s>	</s>
චේහ්රා	Chehra
කතාමාලාව	kathamalawa
ඔස්සේ	osse
බන්දිනීගේ	bandanige
දිවිය,	diviya,
ඇගේ	ege
නොමියෙන	nomiyena
ආත්මය	athmaya
සහ	saha
විවාහයෙන්	vivahayen
පසුව	pasuwa
ඇයට	ayata
මුහුණ	muhuna
දෙන්නට	dennata
සිදුවන	siduwan
අත්දැකීම්	athdekeeem
ආදිය	adiya
නිරූපණය	niroopanaya
කෙරේ.	kere.
</s>	</s>
මෙම	Mema
ද්‍රව්‍ය	drawya
සමහරක්	samaharak
පිළිබඳ	pilibanda
මහාවංශයේ	mahawansaye
සඳහන්	sandahan
වේ.	we.
</s>	</s>
ඊට	Eeta
හේතුව	hethuwa
ද්විස්ථරයේ	dwistharaye
පතුල	pathula
මතුපිටට	mathupitata
වඩා	wada
උෂ්ණාධිකවීමයි.	ushnadikaweemai.
</s>	</s>
ධ්වනි	Dhwani
ප්‍රභවය	prabhawaya
තමා	thama
වෙත	wetha
ළඟා	langa
වන	wana
විට	wita
ධ්වනියේ	dwaniye
තාරතාවය	tharathawaya
වැඩි	wedi
වූ	woo
බව	bawa
ත්,	th,
ප්‍රභවය	prabhawaya
තමාගෙන්	thamagen
ඉවතට	iwathata
යන	yana
විට	wita
ධ්වනි	dwani
සංඛ්‍යාතය	sankayathaya
අඩු	adu
වූ	woo
බව	baw
ත්	ath
ඔහු	ohu
විසින්	wisin
තහවුරු	thahawuru
කරන	karana
ලදී.	ladee.
</s>	</s>
පාලකයින්ට	Palakainta
නිරික්ෂණය	nireekshanaya
කිරීමේදී	kireemedi
ඇති	athi
පහසුව	pahasuwa
සලකා	salaka
ගබඩාව	gabadawa
ප්‍රධාන	pradhana
නගර	nagara
ප්‍රාසාදයේ	prasadaye
