තන්ත්‍රයන්ට අනුව මහා තත්ත්වය (පරබ්‍රහ්මන්) ද්විත්වයන් මත රඳා පවතී.	Thanthrayanta anuwa maha thathwaya (parabrahman) dwithwayan matha randa pawathee.
ඔහු මෙම තරඟාවලියේදි කණ්ඩායමේ අනිත් තරඟකරුවන් වූ නවසීලන්තය සහ කෙන්යාවට එරෙහිව අර්ධ ශතක දෙකක් ලබා ගත්තේය.	Ohu mema tharangawaliyedi kandayame anith tharangakaruwan wu nawaseelanthaya saha kenyawata erehiwa ardha shathaka dekka laba gaththeya.
2011 ඔක්තෝබර් මස අභාවප්‍රාප්ත වන විට හෙතෙම එම ලිපි පෙළ පොතක් වශයෙන් මුද්‍රණය කිරීමට සූදානම් වෙමින් සිටියේ ය.	2011 Octhobar masa abhawapraptha wana wita hethema ema lipi pela pothak washayen mudranaya kireemata soodanam wemin sitiye ya.
උකුකල කිරි නිපදවීමේ ක්‍රියාවලිය බෝර්ඩන් පවුල විසින් සොයාගන්නා ලද අතර ඒ සඳහා ඔවුන්ට පේටන්ට් බලපත්‍රයක්ද තිබී ඇත.	Uku kala kiri nipadaweeme kriyawaliya Borden pawula wisin soyaganna lada athara e sandaha owunta patent balapathrayakda thibee atha.
ශරීරය මධ්‍යයෙහි රතු පාට තිත් ද සමහර අවස්ථා වල කහ පැහැති තිත්ද දැකීමට පුලුවන.	Shareeraya madhyayehi rathu pata thithda samahara awastha wala kaha pahathi thith da dakeemata puluwana.
එමෙන්ම රක්‌ෂිත වන කලාපයට අයත් ප්‍රදේශයක්‌ද වේ.	Emenma rakshitha wana kalapayata ayath pradeshayakda we.
මෙම පෙදෙසෙහි සෙමෙන් සිදුවන වාත පිරිවැටුම භාවිතයෙන් ආශ්වාස වාතය ආර්ද්‍රකරණය සහ රත්කිරීම.	Mema pedesehi semen siduwana watha piriwatuma bhawithayen ashwasa wathaya ardrakaranaya saha rathkireema.
නමුත් 2015 මැයි මස ඔහු කතාමාලාව අත්හැර ගියේ ය.	Namuth 2015 may masa ohu kathamalawa athhara giye ya.
අතිගරු ජනාධිපති මහින්ද රාජපක්ෂ මහතා 2006 සැප්තැම්බර් මස 13 වන දිනැති ගැසට් නිවේදන අංක 1462/20 මගින් මුළු ග්‍රාම ආරක්ෂක සේවය ප්‍රතිවයුහගත කොට සිවිල් ආරක්ෂක දෙපාර්තමේන්තුව ස්ථාපිත කරන ලදී.	Athigaru janadhipathi Mahinda Rajapaksa mahatha 2006 sapthamber masa 13 wana dinathi gazzette newedana anka 1462/20 magin mulu grama arakshaka sewaya prahtiviyuhagatha kota civil arakshaka departhamenthuwa sthapitha karana ladee.
මොණරා	Monara
මොහොමඩ් අලිජින්නාගේ මුරණ්ඩු ක්‍රියාකලාපය නිසා ඉන්දියාව දෙකඩ වන බව හේ කියා සිටියේ ය.	Mohamed Alijinnage murandu kriyakalapaha nisa indiyawa dekada wana bawa he kiya sitiye ya.
තල් ශාකයට අවුරුදු 100කට වඩා ජීවත් විය හැක.	Thal shakayata awurudu 100kata wada jeewath wiya heka.
ක්රිස්තියානි සහ යුදෙව් ආගම ප්රධාන ලිපිය: ක්රිස්තියානි සහ යුදෙව් ආගම මෙයද බලන්න: ක්රිස්තියානි සහ antisemitism සහ ක්රිස්තියානි-යුදෙව් සංහිඳියාව ක්රිස්තියානි ධර්මය මුලින්ම දෙවන අරලියගහ යුදෙව් ආගම ඇදහීම, නමුත් ආගම් දෙකක් පළමු සියවසේ අපසරනය.	Christiyani saha yudew agama pradhana lipiya: christiyani saha yudew agama meyada balanna: christiyani saha antisemitism saha Christiyani-yudew sanhindiyawa christiyani dharmaya mulinma dewana araliyagaha yudew agama adaheema, namuth agam dekak palamu siyawase apasaranaya.
වීරසිංහම් ශාලාව යාපනය පිහිටි මහජන ශාලාවක්/කාර්යාල ගොඩනැගිල්ලක් වේ.	Weerasingham shalawa yapanaya pihiti mahajana shalawak/karyala godanegillak we.
(පෙබරවාරි 17 දින සොන්දොක් රැජින මියගියා ය. අනතුරුව ජින්දොක් සිල්ලාවේ රැජින ලෙස රාජ්‍යත්වයට පත්වූවා ය)	(february 17 dina sondoth rajina miyagiya ya. Anathuruwa jindoth sillawe rajina lesa rajyathwayata pathwoowa ya)
ජලයේ හා භූමියේ සංවර්ධනයත් ග්‍රාමීය වැව්වල නඩත්තුව හා වර්ධනයත් සමස්ත සිංහල ශිෂ්ටාචාරය හා ආර්ථීක වර්ධනයත් හැඩගැස්වුයේය.	Jalaye ha bhoomiye sanwardanayath grameeya wewwala nadaththuwa ha wardanayath samastha sinhala shistacharaya ha arthika wardanayath hedagaswooyeya.
ස්වාමීනි, භාග්‍යවතුන් වහන්සේ හීනවූ ග්‍රාම්‍යවූ පෘථග්ජනයන්ට අයිතිවූ, ආර්යය නොවූ අනර්ථ සහිතවූ කාමසුඛල්ලිකානු යෝගයෙහි (කාම සැපයේ ඇලීමෙහි) නොයෙදුනේ වෙයි.	Swamini, bhaghawathun wahanse heenawoo gramayawoo pruthagjanayanta aiythiwoo, aarya nowoo, anartha sahithawoo kamasukallikanu yogayehi (kama sepaye aleemehi) noyedune wei.
ඉරණමඩු හන්දිය මුදා ගැනීම හේතුවෙන් යුධ හමුදාවට කිලිනොච්චියට ඇතුළු වීමට දකුණු ගොඩබිම් පිවිසුම් මාර්ගයක්ද විවෘත විය.	Iranamadu handiya muda ganeema hethuwen yuda hamudawata kilinochchiyata athulu weemata dakunu godabim pivisum margayakda vivurtha viya.
කාසලින් කරන් අවස්ථාවේදී පමණක් එක් වර ඉත්තන් දෙදෙනෙකු එහා මෙහා ගෙන යා හැකිය.	Kasalin karan awasthawedi pamanak ek wara iththan dedeneku eha meha gena ya hekiya.
මෙතෙක් දෙමාපිය ආරක්ෂාව යටතේ සිටි ළමයා ළමාවිය අතහැර දමා ස්වාධීන වීමටත් තමාගේ ආරක්ෂාව සලසා ගනිමින් බැහැරට යාමට හැකියාව ලබාගන්නා අවධිය ලෙසත් නව යොවුන් විය හැදින්වේ.	Methek demapiya arakshawa yatathe siti lamaya lamawiya athahera dama swadeena weematath thamage arakshawa salasa ganimin beharata yamata hekiyawa labaganna awadiya lesath nawa yowun viya hendinwe.
එතැනදී ඔහුගේ සාර්ථකත්වය ගැන නොසලකා බෝල්කනයේ පසුකාලීන ක්‍රියාකලාපය පිලිබඳව ඔහුව තරයේ විවේචනය කරන ලදී.	Ethanadi ohuge sarthakathwaya gena nosalaka bolkanaye pasukaleena kriyakalapaya pilibandawa ohuwa tharaye wivechanaya karana ladee.
නමුත් ඔහු විසින් 1592 සිට 1636 අතර කාලයේ රාජ්‍යයට ඇති වූ ආක්‍රමණ හමුවේ, යුධ හමුදාව පුළුල් කිරීම බුද්ධිමත් තීරණයක් යැයි සැලකේ.	Namuth ohu wisin 1592 sita 1636 athara kalaye rajyayata athi woo akramana hamuwe, yuda hamudawa pulul kireema buddimath theeranayak yai selake.
මේවා විසින් බොහෝ විට ඇඟවෙනුයේ, රාජකීය ගුප්තවරුන්ගේ මස්තකප්‍රාප්තියට ඒක්ෂණයෙහි ලිච්චවීවරුන් විසින් මගධය අධිවාසනය කල බවක් වුවද, එය ඔප්පු කිරීමට සෘජු සාක්ෂි නොමැත.	Mewa wisin boho wita angawenuye, rajakeeya gupthawarunge masthakaprapthiyata ekshanayehi lichchawiwarun wisin maghadaya adiwasanaya kala bawak wuwada, eya oppu kireemata riju sakshi nometha.
ප‍්‍රථමයෙන් කතා කළ පරිදි රෝගි වීම තුළ සමාජ පර්යාය බිඳ වැටේ.	Prathamayen katha kala paridi rogee weema thula samaja paryaya binda wete.
අනෙකුත් ප්රකාශ කර ඇති හා මතුවෙමින් පවතින තාක්ෂණික ක්රම ද භූ විද්යාත්මක යෙදුම්වල භාවිතා වේ.	Anekuth prakasha kara athi ha mathuwemin pawathin thakshanika krama da bhoo vidyathmaka yedumwala bhawitha we.
චේහ්රා කතාමාලාව ඔස්සේ බන්දිනීගේ දිවිය, ඇගේ නොමියෙන ආත්මය සහ විවාහයෙන් පසුව ඇයට මුහුණ දෙන්නට සිදුවන අත්දැකීම් ආදිය නිරූපණය කෙරේ.	Chehra kathamalawa osse bandanige diviya, ege nomiyena athmaya saha vivahayen pasuwa ayata muhuna dennata siduwan athdekeeem adiya niroopanaya kere.
මෙම ද්‍රව්‍ය සමහරක් පිළිබඳ මහාවංශයේ සඳහන් වේ.	Mema drawya samaharak pilibanda mahawansaye sandahan we.
ඊට හේතුව ද්විස්ථරයේ පතුල මතුපිටට වඩා උෂ්ණාධිකවීමයි.	Eeta hethuwa dwistharaye pathula mathupitata wada ushnadikaweemai.
ධ්වනි ප්‍රභවය තමා වෙත ළඟා වන විට ධ්වනියේ තාරතාවය වැඩි වූ බව ත්, ප්‍රභවය තමාගෙන් ඉවතට යන විට ධ්වනි සංඛ්‍යාතය අඩු වූ බව ත් ඔහු විසින් තහවුරු කරන ලදී.	Dhwani prabhawaya thama wetha langa wana wita dwaniye tharathawaya wedi woo bawa th, prabhawaya thamagen iwathata yana wita dwani sankayathaya adu woo baw ath ohu wisin thahawuru karana ladee.
පාලකයින්ට නිරික්ෂණය කිරීමේදී ඇති පහසුව සලකා ගබඩාව ප්‍රධාන නගර ප්‍රාසාදයේ පිහිටා තිබුණි.	Palakainta nireekshanaya kireemedi athi pahasuwa salaka gabadawa pradhana nagara prasadaye pihita thibuni.
පරිගණකය යනු අප විසින් ලබාදෙන කිසියම් උපදෙස් සමූහයකට අනුව ඒවා කිසියම් සැකසීමකට ලක් කළ හැකි, අවශ්‍ය වූ විටෙක අප හට ඒවා නැවත ලබා ගත හැකි, ඒවා තම මතකය තුළ තැන්පත් කර ගත හැකි.	Pariganakaya yanu apa visin labadena kisiyam upades samoohayakata anuwa ewa kisiyam sekaseemakata lak lala heki, awashya woo Viteka apa hata ewa newatha laba gatha heik, ewa thama mathakaya thula thenpath kara gatha heki.
මෙම රෝග යක්ෂයන් විසින් ඇතිකරන රෝග බවත් එම අමනුෂ්‍ය බලවේගයන් පලවා හැරීම මගින් සුවය ලැබියහැකි බවත් ඇතැම් සංස්කෘති තුල විශ්වාසයන් පැවතිණ.	Mema roga yakshayan wisin athikarana roga bhawath, ema amanushya balawegayan palawa hereema magin suwaya lebiya heki bawath atham sanskruthi thula vishwasayan pawathina.
දේවාසිශ් රෝයි වර්තමාන චක්මා ජනයාගේ පාලකයා ලෙස සැලකේ.	Dewasish roy warthamana chakma janayage palakaya lesa selake.
ලංකා පබ්බතයේ වටිනා සෙල්ලිපි දෙකක් පිහිටා තිබෙන අතර බුදුගල ආරාමයේ ද පධානඝර නොහොත් පියන්ගල් දක්නට ඇත.	Lanka pabbathaye watina sellipi dekak pihita thibena athara budugala aramaye da pradhanagara nohoth piyangal daknata atha.
වඩාත් මහේච්ඡ අරමුණක් ලෙසින් ඉන්දියානු රජය පණත 1935 තුල අඩංගුවූ සන්ධියන උපක්‍රමයක් තිබූ අතර, එය විසින් බලාපොරොත්තු වූයේ, කුමාර රාජ්‍යයන් සහ බ්‍රිතාන්‍ය ඉන්දියාව, ෆෙඩරල් රජයක් යටතේ එක්සත් වීමයි.	Wadath mahechcha aramunak lesin indiyanu rajaya panatha 1935 thula adanguwoo sandeeyana upakramayak thibu athara, eya wisin balaporoththu wooye, kumara rajyayan saha brithanya indiyawa, federal rajayak yatate eksath weemai.
මෙම මණ්ඩපය මහාබලිපුරම්හි වැදගත්ම ලෙන් අතරින් එකකි.	Mema mandapaya mahabalipuramhi wedagathma len atharin ekaki.
ශිව දෙවියන් සමග පෙනී සිටින කල්හි ඇය සුපිපුණු පියුමක් දරයි.	Shiva deviyan samaga penee sitina kalhi aya supipuna piyumak darai.
සම්පූර්ණ හමුදාවට මෙන්ම හමුදා ඒකක පාලනය හා සංවිධානයට අවශ්‍ය ප්‍රශස්ථ ක්‍රමවේදයන් සංවර්ධනය කරයි.	Sampoorna hamudawata menma hamuda ekaka palana ha sanvidanayata awashya prashastha kramawedayan sanwardanaya karai.
ලොව මුල්ම චායාරූපය-වහලය	Lowa mulma chayaroopaya-vahalaya
සාප්පු හා කර්යාල සේවක පනත අදාලවන සේවකයින් 4ක් හෝ ඊට වැඩි සේවක සංඛ්‍යාවක් සේවය කරන තොග හා සිල්ලර වෙළදාම සදහා ද, සේවකයින් 10ක් හෝ ඊට වැඩි සංඛ්‍යාවක් සේවය කරන හෝටල් හා භෝජනාගාර සේවකයින් සදහාද පඩි පාලක පනත යටතේ වැටුප් නියම කර ඇත.	Sappu ha karyala sewaka panatha adalawana sewakayin 4k ho eta wedi sewaka sankayawak sewaya karana thoga ha sillara welandama sandaha da, Sewakayin 10k ho eta wedi sankayawak sewaya karana hotel ya bhojanagara sewakayin sandahada padi palaka panatha yatathe wetup niyama kara atha.
රතු ආලෝකය සඳහා සිලිකන් ප්‍රභාසංස්ලේෂණය ඉතා සංවේදී වේ.	Rathu alokaya sandaha silikon prabhasansleshanaya itha sanwedee we.
තණ්හාව තමයි දුක්ඛ සමුය කියන්නේ.	Thanhawa thamai dukkha samuya kiyanne
ඔප්ටිකල් මවුස LED (හෝ අධෝරක්ත ඩයෝඩය) ආලෝකය විහිදුවන රූපයක් මත පදනම්ව, ඔප්ටිකල් මවුස විවිධ වර්ණැති මූසික පුවරු භාවිතා කිරීම නිසා අනාරක්ෂිත කාර්ය සාධනයක් ඇති විය හැක.	Optical mousa LED (ho adoraktha diodaya) alokaya vihiduwana roopayak matha padanamwa, optical mausa wiwida warnethi moosika puwaru bhawitha kireema nisa anarakshitha karya sadhanayak athi wiya heka.
ඉලෙක්ට්‍රෝනයක් භෞම අවස්ථාවේදී න්‍යෂ්ටියට ආසන්නතම අඩු ම ශක්ති මට්ටමක පවතී.	Electronayaka bhowma awasthawedi niyashtiyata asannathama adu ma shakthi mattamaka pawathi.
ඝනැනි මුද්‍රාවක් වැනි සිප්පි කටුවකින් තනන ලද මාලිමාවක් ලෙස භාවිතා කරන ලද වස්තුවක් හමු වී ඇති අතර එය සිරස්ව හෝ තිරස්ව අංශක 40 කොටස් මඟින් අංශක 360 දක්වා මිනුම් ගැනීමේ හැකියාව සහිත විය.	Ghanani mudrawak weni sippi katuwakin thanana lada malimawak lesa bhawitha karana lada wasthuwak hamu wee athi athara Eya siraswa ho thiraswa anshaka 40 kotas magin anshaka 360 dakwa minum geneeme hekiyawa sahitha wiya.
ටෙක්නීටියම්වල විකිරණශීලී පසුබිම මෙම විඛාදන ආරක්ෂණය ප්‍රායෝගික නොවන තත්වයට පත් කරයි.	Technigiyamwala wikiranasheelee pasubima mema vikhadana arakshanaya prayogika nowana thathwayata path karai.
මඩලගම වජිර බද්ධි හිමි එම සිරිත් 24 පහත ආකාරයට හඳුන්වා දී ඇත.	Madalagama vajira bhaddi himi ema sirith 24 pahatha akarayata handunwa dee etha.
1987 ඉන්දු ලංකා ගිවිසුම ඔස්සේ පළාත් සභා ස්ථාපිත කිරීමත් සමග බොහෝ දෙමළ සංවිධාන ප‍්‍රජාතන්ත‍්‍රවාදී පාලන ව්‍යුහයට පිවිසිනි.	1987 Indu lanka givisuma osse palath sabha sthapitha kireemath samaga boho demala sanvidhana prajathanthrawadi palana viyuhayata pivisini
තුමා විසින් පෞද්ගලික ව ඇගයීමට ලක්කරමින් ‘රිදී වෘකයා’ සම්මානය ද ප්‍රදානය කරන ලද්දේ ය.	Thuma wisin paudgalikawa agayeemata lakkaramin 'ridee wurkaya' sammanaya da pradanaya karana ladde ya.
විද්‍යාවේ එළියට පණ ගන්වා	Vidyawe eliyata pana ganwa
ඵල බවට බිඳ වැටේ.	Pala bawata binda wete.
ජීව විද්‍යාව ද ශාක හා සතුන් කෙරේ ඇතිවන භීතිකා තත්වයන් විරෝධාකල්පයන් පිළිකුල හැගීවීමට භීතිකා යව වදන යොදාගනී	Jeewa vidyawa da shaka ha sathun kere athiwana bheethika thathwayan wirodakalpayan pilikula hengaweemata bheethika yana wadana yodaganee.
මෙම විද්‍යාත්මක ක්‍රමයන් පසුකාලිනව ඇමරිකානු පුනර්ජිවනයේ සිතන ආකාරයට පත් විය.	Mema vidyathmaka kramayan pasukaleenawa amerikanu punarjeewanaye sithana akarayata path wiya.
සප්ත යෝගය - ඉන්ද්‍ර ගුරුළුව, පංච පක්ෂිය, යමකාලය, දඩු මරණය, දින මුර්තුව, ඊසකය, ශිවා ලිඛිතය	Saptha yogaya - indra guruluwa, pancha pakshiya, yamakalaya, dadu maranaya, dina murthuwa, eesakaya, shiwa likihithaya
තෙත් කාලයට වඩා වියළි කාලයේ ඕසෝන් මට්ටම වැඩිය.	Theth kalayata wada wiyali kalaye ooson mattama wediya.
එබැවින් විදුහල්පතිවරයාගේ නිසි කළමනාකරණයට ලක් නොවීමෙන් ඒවා සක්‍රීය අන්දමින් ක්‍රියාත්මක නොවේ.	Ebawin viduhalpathiwarayage nisi kalamanakaranayata lak noweemen ewa sakriya andamin kriyathmaka nowe.
අතීතයේ සතුන් සමූහයක්(පට්ටියක්) ලෙස රැකබලා ගැනීම සාමාන්‍ය දෙයක් විය.	Atheethaye sathun samoohayak(pattiyak) lesa rekabala geneema samanya deyak wiya.
මෙම පුවත්පත කිහිපවතාවක් පහරදීමට ලක්ව, අවිගත් කණ්ඩායම් සහ අනෙකුත් හමුදා බලකායන් විසින් එහි කාර්ය මණ්ඩලයෙහි කිහිප දෙනෙකු ඝාතනයට ලක්වී ඇති අතර, එය නිතොරම තර්ජනයන්ට ලක්වෙයි.	Mema puwathpatha kihipawathawak paharadeemata lakwa, avigath kandayam saha anekuth hamuda balakayan wisin ehi karya mandalayehi kihipa deneku ghathanayata lakwee athi athara, eya nithorama tharjanayantha lakwei.
සෘතුමය ශීත වීමට ප්‍රතිචාර ලෙස ගංගා හා විල්වල අයිස් ඇති වේ.	Irthumaya sheetha weemata prathichara lesa ganga ha wilwala ice athi we.
ෆ්ලැක්ට අනූව රොසෙන්බර්ග් සමහර මතයන් මානව ස්වභාවයේ, සාහිත්‍යයයේ හා කලාවේ සංකීර්ණතාවයන් හා නොගැලපෙන සරල පිළිතුරු බවට පත් වී ඇත.	Flakta anuwa Rosenberg samahara mathayan manawa swabhawage, sahithye ha kalawe sankeernathawayan ha nogalapena sarala pilithuru bawata path wee atha.
