තන්ත්‍රයන්ට අනුව මහා තත්ත්වය (පරබ්‍රහ්මන්) ද්විත්වයන් මත රඳා පවතී.	9	Thanthrayanta anuwa maha thathwaya (parabrahman) dwithwayan matha randa pawathee.	9	
ඔහු මෙම තරඟාවලියේදි කණ්ඩායමේ අනිත් තරඟකරුවන් වූ නවසීලන්තය සහ කෙන්යාවට එරෙහිව අර්ධ ශතක දෙකක් ලබා ගත්තේය.	16	Ohu mema tharangawaliyedi kandayame anith tharangakaruwan wu nawaseelanthaya saha kenyawata erehiwa ardha shathaka dekka laba gaththeya.	16	
2011 ඔක්තෝබර් මස අභාවප්‍රාප්ත වන විට හෙතෙම එම ලිපි පෙළ පොතක් වශයෙන් මුද්‍රණය කිරීමට සූදානම් වෙමින් සිටියේ ය.	18	2011 Octhobar masa abhawapraptha wana wita hethema ema lipi pela pothak washayen mudranaya kireemata soodanam wemin sitiye ya.	18	
උකුකල කිරි නිපදවීමේ ක්‍රියාවලිය බෝර්ඩන් පවුල විසින් සොයාගන්නා ලද අතර ඒ සඳහා ඔවුන්ට පේටන්ට් බලපත්‍රයක්ද තිබී ඇත.	17	Uku kala kiri nipadaweeme kriyawaliya Borden pawula wisin soyaganna lada athara e sandaha owunta patent balapathrayakda thibee atha.	18	උකුකල changed to උකු කල. Therefore WC mismatch.
ශරීරය මධ්‍යයෙහි රතු පාට තිත් ද සමහර අවස්ථා වල කහ පැහැති තිත්ද දැකීමට පුලුවන.	14	Shareeraya madhyayehi rathu pata thithda samahara awastha wala kaha pahathi thith da dakeemata puluwana.	14	
එමෙන්ම රක්‌ෂිත වන කලාපයට අයත් ප්‍රදේශයක්‌ද වේ.	7	Emenma rakshitha wana kalapayata ayath pradeshayakda we.	7	
මෙම පෙදෙසෙහි සෙමෙන් සිදුවන වාත පිරිවැටුම භාවිතයෙන් ආශ්වාස වාතය ආර්ද්‍රකරණය සහ රත්කිරීම.	12	Mema pedesehi semen siduwana watha piriwatuma bhawithayen ashwasa wathaya ardrakaranaya saha rathkireema.	12	
නමුත් 2015 මැයි මස ඔහු කතාමාලාව අත්හැර ගියේ ය.	9	Namuth 2015 may masa ohu kathamalawa athhara giye ya.	9	
අතිගරු ජනාධිපති මහින්ද රාජපක්ෂ මහතා 2006 සැප්තැම්බර් මස 13 වන දිනැති ගැසට් නිවේදන අංක 1462/20 මගින් මුළු ග්‍රාම ආරක්ෂක සේවය ප්‍රතිවයුහගත කොට සිවිල් ආරක්ෂක දෙපාර්තමේන්තුව ස්ථාපිත කරන ලදී.	28	Athigaru janadhipathi Mahinda Rajapaksa mahatha 2006 sapthamber masa 13 wana dinathi gazzette newedana anka 1462/20 magin mulu grama arakshaka sewaya prahtiviyuhagatha kota civil arakshaka departhamenthuwa sthapitha karana ladee.	28	
මොණරා	1	Monara	1	
මොහොමඩ් අලිජින්නාගේ මුරණ්ඩු ක්‍රියාකලාපය නිසා ඉන්දියාව දෙකඩ වන බව හේ කියා සිටියේ ය.	13	Mohamed Alijinnage murandu kriyakalapaha nisa indiyawa dekada wana bawa he kiya sitiye ya.	13	
තල් ශාකයට අවුරුදු 100කට වඩා ජීවත් විය හැක.	8	Thal shakayata awurudu 100kata wada jeewath wiya heka.	8	
ක්රිස්තියානි සහ යුදෙව් ආගම ප්රධාන ලිපිය: ක්රිස්තියානි සහ යුදෙව් ආගම මෙයද බලන්න: ක්රිස්තියානි සහ antisemitism සහ	16	Christiyani saha yudew agama pradhana lipiya: christiyani saha yudew agama meyada balanna: christiyani saha antisemitism saha	16	
ක්රිස්තියානි-යුදෙව් සංහිඳියාව ක්රිස්තියානි ධර්මය මුලින්ම දෙවන අරලියගහ යුදෙව් ආගම ඇදහීම, නමුත් ආගම් දෙකක් පළමු සියවසේ අපසරනය.	16	Christiyani-yudew sanhindiyawa christiyani dharmaya mulinma dewana araliyagaha yudew agama adaheema, namuth agam dekak palamu siyawase apasaranaya.	16	
වීරසිංහම් ශාලාව යාපනය පිහිටි මහජන ශාලාවක්/කාර්යාල ගොඩනැගිල්ලක් වේ.	8	Weerasingham shalawa yapanaya pihiti mahajana shalawak/karyala godanegillak we.	8	
(පෙබරවාරි 17 දින සොන්දොක් රැජින මියගියා ය. අනතුරුව ජින්දොක් සිල්ලාවේ රැජින ලෙස රාජ්‍යත්වයට පත්වූවා ය)	15	(february 17 dina sondoth rajina miyagiya ya. Anathuruwa jindoth sillawe rajina lesa rajyathwayata pathwoowa ya)	15	
ජලයේ හා භූමියේ සංවර්ධනයත් ග්‍රාමීය වැව්වල නඩත්තුව හා වර්ධනයත් සමස්ත සිංහල ශිෂ්ටාචාරය හා ආර්ථීක වර්ධනයත් හැඩගැස්වුයේය.	16	Jalaye ha bhoomiye sanwardanayath grameeya wewwala nadaththuwa ha wardanayath samastha sinhala shistacharaya ha arthika wardanayath hedagaswooyeya.	16	
