ரேடியோ அதிர்வெண் முடுக்கிகள், துகள்கள் நேரடியாக முடுக்குகிறது.	Radio athirven mudikkigal, thugalkal neradiyaga mudukukirathu.
மான் விளையாடிக்கொண்டு வந்து உன்னை மோதினால் உன் காசுமணியிலுள்ள முத்துக்கள் சிதறி விழுவது போல, குமிழம் பழங்கள் கொட்டும் வழியில் நீ எட்டமொடு வருகிறாயா என்று அவர் கேட்டதுண்டு.	Maan vilaiyaadikondu vanthu unnai modhinaal un kaasumaiyilulla muthukkal sithari vizhuvathu pola, kumizham palangal kottum vazhiyil nee ettamodu varukiraya endru avar ketathundu.
அமிர்தகழி	Amirthakazhi
மோகன் லால் குப்தா ஜெய்ப்பூரின் முன்னாள் மேயராகவும், இந்தியாவின் ராஜஸ்தான் சட்டமன்ற உறுப்பினராகவும் (எம்.எல்.ஏ) இருக்கிறார்.	Mohan Lal Gupta Jaipaurin munnal mayoragavum, indiyavin rajasthan sattamandra uripinaragavum (MLA) irukirar.
தில்லி மாநில கூட்டுறவு வங்கி லி.	Delhi maanila kooturavu vangi li.
அவை சேவைகளை வழங்கும் இருப்பு சார்ந்த சொத்துகளாகும்;	avai sevaikalai vazhangum iruppu saarntha sothukalaagum
உருசியப் பேரரசு அலாசுக்காவில் குடியேற்றத்தை நிறுவி கடல் வழியாக தோல் வணிகத்தில் ஈடுபடுவதாக கிடைத்த செய்தியால் மேல் கலிபோர்னியாவில் குடியேற்றத்தை உருவாக்கும் எசுப்பானியாவின் எண்ணம் அதிகமாகியது.	Urusiya perarasu alasukkaavil kudiyetrathai niruvi kadal vazhiyaga thol vanigathil edupaduvathaaga kidaitha seythiyaal mel californiayavil kudiyetrathai uruvaakum yesupaaniyaavin ennam athigamagiyathu.
உலகளாவிய கிராமம் அல்லது புவிக் கிராமம் (Global village) என்பது பல்வேறு விதமான தொடர்பு சாதனங்களின் பயன்பாட்டினால் புவியானது ஒரு கிராமமாகச் சுருக்கப்பட்டதை உருவகிக்கும் ஒரு சொற்றொடர் ஆகும்.	ulagalaaviya kiramam allathu puvi kiramam (Global Village) enbathu palveru vithamaana thodarpu saathangalin payanpaatilnaal puviyanathu oru kiramamaga surukappattathai uruvagikkum oru sortrodar aagum.
பெரும்பாலான நோயாளிகள் இதய சம்பந்தமான குறைபாடுகளால் பாதிக்கப்படுகின்றனர், மேலும் நோயாளிகளின் குருதி ஊட்டக்குறை சரிசெய்யப்படாமல் விடப்படும் பட்சத்தில் அவர்கள் பக்கவாதம் மற்றும் திடீர் இறப்புக்கு ஆளாகின்றனர்.	perumbalaana noyaligal idhya sambanthamaana kuraipaadukalil paathigappadukindranar, melum noyaligalin kuruthi oottakurai sariseyyappadamal vidappadum patchathil avargal pakkavaatham mattrum thideer irappukku aalagindranar.
போரிரீன்கள், பாசுபிரீன்கள், சிலிரீன்கள் என்பவை போரான், பாசுபரசு, சிலிக்கன் தனிமங்கள் பதிலீடு செய்யப்பட்ட சைக்ளோபுரோப்பீன்களாகும்.	Porireengal, Paasureengal, silireengal enbavai poraan, paasuparasu, silicon thanimangal pathileedu seyyappatta saiklopuropeenkalaagum.
சீரொளி	Seeroli
தமிழக ஆறுகளின் பட்டியல்	Thamizhaga aarugalin pattiyal
கிடைக்கோடுகளின் முனைகள் இருபுறமும் குத்துக் கோடுகளால் இணைக்கப்பட்டிருக்கும்.	kidaikodukalin munaigal irupuramum kuthuk kodukalal inaikkappattirukum.
உலகம் முழுதுமாக மொத்தம் 16.3 மில்லியன் மக்கள் இச்சபையின் உறுப்பினர்களாக உள்ளனர்.	Ulagam muzhuvathum moththam 16.3 million makkal echabaiyin uripinarkalaga ullanar.
நாட்டியதாரா	Naatiyathara
எனவே கண்டல் தாவரங்களில் வேரிழையங்களுக்கு ஆக்சிசன் வழங்குவதற்காக மூச்சு வேர்கள் கூர்ப்படைந்துள்ளன.	enave kandal thaavarangalil verizhaiyangalukku oxygen vazhanguvatharkkaga moochu vergal koorppadaithullana.
இளம் வயதிலிருந்தே இலக்கியத்தில் ஆர்வம் காட்டினார், கிரேம் மற்றும் ரோமன் தொன்மங்களைப் படித்தார், கிரிம் சகோதரர்களின் கதைகளைப் படித்ததால் இவர் பிற்காலத்தில் ஐரோப்பாவுடன் இணைந்தார்.	elam vayathilirunthey ilakiyathil aarvam kaatinaar, kirekkam mattrum roman thonmangalai padiththaar, kirim sagothararkalin kathaikalai padiththathaal ivar pikaalaththil ayropavudan inainthaar.
பன்னாட்டுச் செலாவணி அமைப்பை கட்டுப்படுத்த வேண்டிய விதிகள், அமைப்புகள் மற்றும் செயல்முறைகளை நிறுவிட பிரெட்டன் வுட்சு திட்டவியலாளர்கள், தற்போது உலக வங்கிக் குழுமத்தின் அங்கங்களாக உள்ள, பன்னாட்டு நாணய நிதியம் (IMF) மற்றும் பன்னாட்டு புனரமைப்பு மற்றும் மேம்பாட்டு வங்கி (IBRD) ஆகியவறை உருவாக்கினர்.	Pannaattu selavaani amaippai kattuppadutha vendiya vidhigal, amaipugal mattrum seyalmuraigalai niruvida britain utsu thittaviyalaalargal, tharpothu ulaga vangi kuzhumathin angangalaka ulla pannaattu naanaya nidhiyam (IMF) mattrum pannaattu punaramaippu mattrum mempaatu vangi (IBRD) aagiyavattrai uruvaakinaar.
உலகமயமாதலின் பல அம்சங்களுக்கு அவர் தெரிவித்த எதிர்ப்பு அவரை சர்ச்சைக்குரிய ஒரு நபராக்கியுள்ளது.	Ulagamayamathalin pala amsangalukku avar therivitha ethirppu avarai charchaikkuriya oru nabarakiyullathu.
பணம் வாங்குவதில் ஒழுங்குமுறை அல்லது இந்திய அரசாங்கத்தினால் கொடுக்கப்பட்ட பொறுப்புறுதி ஏதேனும்.	Panam vaanguvathil ozhungumurai allathu indhiya arasaangathinaal kodukkappatta porupuruthi yetheynum.
தன்னா "தோஸ்தி: பிரன்ட்ஸ் பாரெவெர்" என்ற பாலிவுட் படத்தில் "நந்தினி தப்பார் "என்ற பாத்திரத்தில் டிசம்பர் 2005இல் அறிமுகமானார்.	Tanna "Dosti: Friends Forever" endra boolywood padathil "Nandhini thabaar" endra paathirathil december 2005yil arimugamaanar.
இவனுக்குப் பின் இவனுடைய மகனான சந்தமுகன் ஆட்சிபீடம் ஏறினான்.	Ivanukku pin ivanudaiya maganaana santhamugan aatchipeedam yerinaan.
நாடக முறையில் கற்பித்தல்	naadaga muraiyil karpithal
காற்று மாசுபாட்டை பூமிக்கு மிக அருகில் புகைப்பனி வைத்திருப்பதால் காற்றில் நச்சுத்தன்மை அதிகமாகிறது.	kaattru maasupaattai bumikki miga arugil puthaippini vaithiruppathaal kaattril natchuthanmai athimagirathu.
முதன்முதலாக கதுப்பு-மீன் துடுப்புக்களைக் கொண்ட மீன்களும் எழும்புகளைக் கொண்ட மீன்களும் கூர்வடைந்தன.	muthanmuthalaga kathuppu-meen thuduppukalai konda meenkalum ezhumpukalai konda meengalum koorvadaithana.
இது அமெரிக்கவின் நேவி சீல்ஸ் மற்றும் பிரித்தானியாவின் சிறப்பு படகு சேவையுடனும் ஒப்பிடப்படுகின்றது.	ithu americavin neavy seals mattrum pirithaaniyavin sirappu padaku sevaiyudanum oppidappadukindrathu.
கத்தோலிக்க சீர்திருத்தம் 16ஆம் நூற்றாண்டில் நிகழ்ந்தபோது கிறித்தவக் கலையும் வளர்ந்தது.	Catholikka seerthirutham 16aam nootraandil nizhalnthapothu christhuva kalaiyum valarnthathu.
இப்படத்தில் மூன்று பாடல்கள் உள்ளன.	ippadathil moondru paadalkal ullana.
கிராமப்புரங்களில் மரங்களை நடுவதற்கும், அவற்றைப் பாதுகாப்பதற்கும் கூட்டுறவுச் சங்கங்கள் ஏற்படுத்தப்பட்டன.	kiramapuragalil marangalai naduvatharkum, avattari paathukkapatharkum kootruravu sangankal yerpaduthappattana.
ஜான் மிசெல் தான் முதன்முதலில் 1767 ஆம் ஆண்டில் இரட்டை நட்சத்திரங்கள் ஒன்றுடன் ஒன்று தொடர்புபட்டவையாக இருக்கலாம் என்று வாதிட்டார்.	John misel than muthanmuthalil 1767 aam aandil irattai natchathirangal ondrudan ondru thodarbudaiyavaiyaga irukkalam endru vaadhittar.
மோல் என்னும் உடலிலுள்ள மறுவைக் குறிக்கும். உடலில் முள் போல் உள்ளமையால் மோல் எனப்பட்டது.	Mole enbathu udalil ulla maruvai. Udalil mul pole ullamaiyaal mole enappattathu.
மூர்க்கமான இவை தூண்டப்பட்டால் கொட்டும்.	moorkamaana ivai thoondappattal kottum.
கிரேக்கக் கட்டிடக்கலையில் மூன்று வகையான ஒழுங்குகள் பயன்பாட்டில் இருந்தன.	Greeka kattidakkalaiyil moondru vaigaiyaana olungukkal payanpaatil irundhana.
இவ்வாறு, தமது இருப்பு நிலை அறிக்கைகள் சிறந்து காணப்படுவதற்காக அவர்கள் அதிகக் கடன் வழங்கவும், அதனால் விலைகள் உயர, அதன் காரணமாக மேலும் அதிகமாகக் கடன்களை வழங்கலாயினர்.	ivvaaru, thamathu iruppu nilai arikaigal siranthu kaanappaduvatharkaga avargal athiga kadan vazhangavum, athanaal vilaikal uyara, athan kaaranamaga melum athigamaka kadankalai vazhangalayinar.
மேலும், அதே சூழ்நிலைச் சிற்றினத்தைச் சார்ந்த சூழ்நிலை வகைகளுடன், வளமான கலப்பினங்களை உண்டாக்குபவையாகும்.	melum, athey soolnilai sitrinaththai saarntha soolnilai vagaikaludan, valamana kalapinangalai undakupavaiyaagum.
இந்த இழப்பு உள்ளிருக்கும் நோய் காரணமாக அறியாமலே ஏற்படலாம்; அல்லது தனது உடற் பருமனைக் குறைக்க மேற்கொள்ளும் முயற்சிகளால் ளள	intha izhappu ullirukkum noi kaaranamaga ariyamalaeye yerpadalaam; allathu thanathu udar parumanai kuraikka merkollum muyarchikalal
புதிதாய் பிறந்த குஞ்சுகளிலும், இளம் பறவைகளிலும் இவ்வாறான துளையைக் காண இயலாது, எனினும் அவற்றின் மேநிறம் பெரியபறவைகளையொத்தே இருக்கும்.	puthithaai pirantha kunjinkalilum, ilam paravaikalilum ivvaarana thulaiyai kaana iyalaathu, eninum avatrin meniram periya paravaikalaiyothey irukkum.
இருந்தாலும் அவர்கள் பணிக்கு சென்றால், குறைவான ஊதியம்தான் பெறமுடிகிறது.	irunthaalum avarkal panikku sendral, kuraivaana oothiyamthaan peramudiyum.
ஜூன் 22 ஆம் தேதி மொண்டிரியலை அடைந்த பாக்ஸ் தனது 8000 கிமீ தூர மொத்தப் பயணத்தில் மூன்றிலொரு பங்கைக் கடந்திருந்தார்.	June 22 aam theythi mondiriyalai adaintha box thanathu 8000 kilometer thoora moththa payanathil moondriloru pangai kandanthirunthaar.
இதை வாங்கியவர் தான் தீர்மானிக்கும் ஒரு நேரத்திலும், வேலை நிபந்தனைகளின்கீழும் பயன்படுத்துகிறார் (பொதுவாக, இதை அவர் பயன்படுத்தியபின் அதற்கான விலையைச் செலுத்துகிறார்).	ithai vaangiyavar thaan theermaanikum oru nerathilum, velai nipanthanaikalinkeelum payanpaduthukirar (pothuvaaka, ithai avar payanpaduthiyapin atharkaana vilaiyai seluthukiraar).
இந்த புழுக்கள், குடலில் செரித்த உணவை உட்கொண்டு உடல் வளர்ச்சிக்குத் தடை ஏற்படுத்துகின்றன.	intha pulukkal, kudalil seritha unavai utkondu udal valarchikku thadai yerpaduthukindrana.
