ரேடியோ அதிர்வெண் முடுக்கிகள், துகள்கள் நேரடியாக முடுக்குகிறது.	6	Radio athirven mudikkigal, thugalkal neradiyaga mudukukirathu.	6			
மான் விளையாடிக்கொண்டு வந்து உன்னை மோதினால் உன் காசுமணியிலுள்ள முத்துக்கள் சிதறி விழுவது போல, குமிழம் பழங்கள் கொட்டும் வழியில் நீ எட்டமொடு வருகிறாயா என்று அவர் கேட்டதுண்டு.	21	Maan vilaiyaadikondu vanthu unnai modhinaal un kaasumaiyilulla muthukkal sithari vizhuvathu pola, kumizham palangal kottum vazhiyil nee ettamodu varukiraya endru avar ketathundu.	21			
அமிர்தகழி	1	Amirthakazhi	1			
மோகன் லால் குப்தா ஜெய்ப்பூரின் முன்னாள் மேயராகவும், இந்தியாவின் ராஜஸ்தான் சட்டமன்ற உறுப்பினராகவும் (எம்.எல்.ஏ) இருக்கிறார்.	12	Mohan Lal Gupta Jaipaurin munnal mayoragavum, indiyavin rajasthan sattamandra uripinaragavum (MLA) irukirar.	12			
தில்லி மாநில கூட்டுறவு வங்கி லி.	5	Delhi maanila kooturavu vangi li.	5			
அவை சேவைகளை வழங்கும் இருப்பு சார்ந்த சொத்துகளாகும்;	6	avai sevaikalai vazhangum iruppu saarntha sothukalaagum	6			
உருசியப் பேரரசு அலாசுக்காவில் குடியேற்றத்தை நிறுவி கடல் வழியாக தோல் வணிகத்தில் ஈடுபடுவதாக கிடைத்த செய்தியால் மேல் கலிபோர்னியாவில் குடியேற்றத்தை உருவாக்கும் எசுப்பானியாவின் எண்ணம் அதிகமாகியது.	19	Urusiya perarasu alasukkaavil kudiyetrathai niruvi kadal vazhiyaga thol vanigathil edupaduvathaaga kidaitha seythiyaal mel californiayavil kudiyetrathai uruvaakum yesupaaniyaavin ennam athigamagiyathu.	19			
உலகளாவிய கிராமம் அல்லது புவிக் கிராமம் (Global village) என்பது பல்வேறு விதமான தொடர்பு சாதனங்களின் பயன்பாட்டினால் புவியானது ஒரு கிராமமாகச் சுருக்கப்பட்டதை உருவகிக்கும் ஒரு சொற்றொடர் ஆகும்.	21	ulagalaaviya kiramam allathu puvi kiramam (Global Village) enbathu palveru vithamaana thodarpu saathangalin payanpaatilnaal puviyanathu oru kiramamaga surukappattathai uruvagikkum oru sortrodar aagum.	21			
பெரும்பாலான நோயாளிகள் இதய சம்பந்தமான குறைபாடுகளால் பாதிக்கப்படுகின்றனர், மேலும் நோயாளிகளின் குருதி ஊட்டக்குறை சரிசெய்யப்படாமல் விடப்படும் பட்சத்தில் அவர்கள் பக்கவாதம் மற்றும் திடீர் இறப்புக்கு ஆளாகின்றனர்.	19	perumbalaana noyaligal idhya sambanthamaana kuraipaadukalil paathigappadukindranar, melum noyaligalin kuruthi oottakurai sariseyyappadamal vidappadum patchathil avargal pakkavaatham mattrum thideer irappukku aalagindranar.	19			
போரிரீன்கள், பாசுபிரீன்கள், சிலிரீன்கள் என்பவை போரான், பாசுபரசு, சிலிக்கன் தனிமங்கள் பதிலீடு செய்யப்பட்ட சைக்ளோபுரோப்பீன்களாகும்.	11	Porireengal, Paasureengal, silireengal enbavai poraan, paasuparasu, silicon thanimangal pathileedu seyyappatta saiklopuropeenkalaagum.	11			
சீரொளி	1	Seeroli	1			
தமிழக ஆறுகளின் பட்டியல்	3	Thamizhaga aarugalin pattiyal	3			
