కృష్ణాష్టమి	krishnashtami
నాడు	naadu
భక్తులు	bhakthulu
పగలంతా	pagalantha
ఉపవాసం	vupavaasam
ఉండి	vundi
సాయంత్రాం	saayanthram
శ్రీకృష్ణుని	shreekrishnuni
పూజిస్తారు	poogistharu
</s>	</s>
ఏది	yedi
ఏమి	yemi
అయినప్పటికీ	ayinappatikee
ఈ	ee
భాష	bhasha
అంత	antha
సులభమైనది	sulabhamainadhi
కాదు	kaadu
</s>	</s>
ఈ	ee
సమయంలో	samayamlo
రాళ్లపల్లి	rallapalli
అనంతకృష్ణశర్మతో	ananthakrishnasharmatho
కలిసి	kalisi
అన్నమాచార్య	annamacharya
సంకీర్తనలపై	sankeerthanalapai
పరిశోధన	parisodhana
చేశాడు	cheysaadu
</s>	</s>
పండుగ	paduga
రోజున	rojuna
స్త్రీలు	sthreelu
పట్టుచీరలు	pattucheeralu
నగలు	nagalu
ధరిస్తారు	dharishthaaru
</s>	</s>
మానసికంగా	maanasikanga
కుంగిపోయిన	kungipoyina
రాజారావు	rajarao
1963	1963
సెప్టెంబరు	september
8న	8na
మద్రాసులో	madraslo
మరణించారు	maraninchaaru
</s>	</s>
దీని	deeni
కాండం	kaandam
బూడిద-నలుపులోను	boodidha-nalupulonu
కొమ్మలు	kommalu
గోధుమ-ఎరుపు	godhuma-yerupu
వర్ణంలోనూ	varnamlonoo
ఉంటాయి	vuntayi
</s>	</s>
ఈడిత్	edith
అడెలా	adela
బోర్డ్‌మాన్	boardman
లేదా	ledha
ఈడిత్	edith
అడెలా	adela
బిల్‌గ్రామీ	bilgrami
జ.1857	ja.1857
హైదరాబాదుకు	hyderabaduku
చెందిన	chendina
ఆంగ్లో	anglo
ఇండియన్	indian
వైద్యురాలు	vaidhyuralu
</s>	</s>
ఈ	ee
నివేదిక	nivedika
రాష్ట్రం	raashtram
నయాగరా	nayagara
జలపాత	jalapaatha
పరిసరాలను	parisaraalanu
కొనుగోలు	konugolu
చేసి	chesi
పునరుద్ధరించి	punarudhdharinchi
అలాగే	alaagey
సంరక్షించడానికి	samrakshinchadaaniki
కావలసిన	kaavalasina
వాదనలను	vaadanalanu
సమర్పించింది	samarpinchandi
</s>	</s>
తెలుగు	telugu
రాష్ట్రాలలోని	raashtraalaloni
సాహిత్య	saahithya
కారులకు	karulaku
సుపరిచితమైన	suparichithamaina
పేరు	peru
సాకం	saakam
నాగరాజ	nagaraja
</s>	</s>
బ్లాక్	black
హెడ్స్	heads
</s>	</s>
1980-90	1980-90
మధ్యకాలంలో	madhyakaalamlo
వ్యవసాయ	vyavasaaya
