కృష్ణాష్టమి నాడు భక్తులు పగలంతా ఉపవాసం ఉండి, సాయంత్రాం శ్రీకృష్ణుని పూజిస్తారు.	9	Krishnashtami naadu bhakthulu pagalantha vupavaasam vundi, saayanthram shreekrishnuni poogistharu.	9	
ఏది ఏమి అయినప్పటికీ ఈ భాష అంత సులభమైనది కాదు.	8	yedi yemi ayinappatikee ee bhasha antha sulabhamainadhi kaadu.	8	
ఈ సమయంలో రాళ్లపల్లి అనంతకృష్ణశర్మతో కలిసి అన్నమాచార్య సంకీర్తనలపై పరిశోధన చేశాడు.	9	ee samayamlo Rallapalli AnanthaKrishnasharmatho kalisi annamacharya sankeerthanalapai parisodhana cheysaadu.	9	
పండుగ రోజున స్త్రీలు పట్టుచీరలు, నగలు ధరిస్తారు.	6	paduga rojuna sthreelu pattucheeralu, nagalu dharishthaaru.	6	
మానసికంగా కుంగిపోయిన రాజారావు 1963 సెప్టెంబరు 8న మద్రాసులో మరణించారు.	8	maanasikanga kungipoyina Rajarao 1963 September 8na Madraslo maraninchaaru.	8	
దీని కాండం బూడిద-నలుపులోను, కొమ్మలు గోధుమ-ఎరుపు వర్ణంలోనూ ఉంటాయి.	7	deeni kaandam boodidha-nalupulonu, kommalu godhuma-yerupu varnamlonoo vuntayi.	7	
ఈడిత్ అడెలా బోర్డ్‌మాన్ లేదా ఈడిత్ అడెలా బిల్‌గ్రామీ (జ.1857) హైదరాబాదుకు చెందిన ఆంగ్లో ఇండియన్ వైద్యురాలు.	13	Edith Adela Boardman ledha Edith Adela Bilgrami (ja.1857) Hyderabaduku chendina anglo Indian vaidhyuralu.	13	
ఈ నివేదిక రాష్ట్రం నయాగరా జలపాత పరిసరాలను కొనుగోలు చేసి పునరుద్ధరించి అలాగే సంరక్షించడానికి కావలసిన వాదనలను సమర్పించింది.	14	ee nivedika raashtram Nayagara jalapaatha parisaraalanu konugolu chesi punarudhdharinchi alaagey samrakshinchadaaniki kaavalasina vaadanalanu samarpinchandi.	14	
తెలుగు రాష్ట్రాలలోని సాహిత్య కారులకు సుపరిచితమైన పేరు సాకం నాగరాజ.	8	telugu raashtraalaloni saahithya karulaku suparichithamaina peru saakam Nagaraja.	8	
బ్లాక్ హెడ్స్	2	black heads	2	
1980-90 మధ్యకాలంలో వ్యవసాయ కార్మిక సంఘం జిల్లా ప్రధాన కార్యదర్శిగా పనిచేసింది.	9	1980-90 madhyakaalamlo vyavasaaya kaarmika sangham jillaa pradhana kaaryadarsigaa panichesthvundi.	9	
కోట శ్రీనివాస రావు	3	Kota Sreenivasa Rao	3	
జంధ్యాల తెలుగువారిలో కొందరి ఇంటి పేరు.	5	Jandhyala teluguvaarilo kondhari inti peru.	5	
ఒక పాన్‌క్రోమాటిక్ కెమెరాను కలిగి ఉంది.	5	oka panchromatic cameranu kaligi vundhi.	5	
విద్య	1	vidhya	1	
కాని, వాహిని చిత్రాల్లో నటించారు.	4	kaani, vaahini chithraallo natincharu.	4	
సునీల్	1	Sunil	1	
ప్రధాన పిచ్ కూడా పునర్నిర్మించబడుతున్నందున, ఈ స్టేడియం ప్రస్తుతం ఏ మ్యాచ్లను ఆతిథ్యమివ్వడంలేదు.	10	pradhaana pitch koodaa punarnirminchabaduthinnanduna, ee stadium prasthutham ye matchlanu aathidhyamivvadamledhu.	10	
ఇక్కడివారు ఒరియా కాకుండాసంబల్‌పురి భాషలో మాట్లాడతారు.	5	ikkadivaaru Oriya kaakundaasambalpuri bhaashalo maatlaaduthaaru.	5	
కొండవలస లక్ష్మణరావు, ప్రముఖ నాటక రచయిత, సినిమా నటులు.	7	Kondavalasa lakshmanrao, pramukha naataka rachayitha, cinema vatulu.	7	
వీటి పరీవాహక ప్రాంతాల్లో వరి పండిస్తారు.	5	veeti pareevaahaka praanthaallo vari pandisthaaru.	5	
ఒప్పందం పాఠం ఇలా ఉంది:	4	oppandham paatam ila vundi:	4	
ఆయనకు సాధారణంగా అలిపిరాల విశ్వం జన్మించినప్పటికీ ఆయన పూర్వజన్మకు సంబంధించిన ఆధ్యాత్మిక సంపద, పరమగురు మహావతార్ బాబాజీ ఆయనను ఒక యోగిగా గుర్తించినట్లు అవగతమైనది.	18	aayanaku saadhaaranangaa Alipiraala Visvam janminchinappatikei aayana poorvajanmaku sambandhinchina aadhyaathmika samoada, paranguru Mahaavathaar Babaji aayananu oka yogigaa gurthinchinatly avagathamainadhi.	18	
శ్రామిక శకటం	2	shraamika sekatam.	2	
కార్పొరేట్ పరిపాలనలో ఒక సమితిగా పద్ధతులు, అభ్యాసములు, పాలసీలను, న్యాయముల మరియు ప్రజలను సూటిగా ప్రభావితం చేసే సంస్థల సమితి లేదా ఒక సంస్థను నియంత్రించడము ఉంటుంది.	20	corporate paripaalanalo oka samithigaa padhdhathulu, abhyaasamulu, policylanu, nyaayamula mariyu prajalanu sootigaa prabhaavitham chese samsthala samithi ledha oka samsthanu niyanthrinchadamu vuntundhi.	20	
ఇది ఎ గ్రేడ్ తో నేషనల్ అసెస్మెంట్ అండ్ అక్రిడిటేషన్ కౌన్సిల్ ద్వారా ప్రామాణికతను కలిగి ఉంది.	13	idhi A grade tho national assessment and accreditation council dwaaraa praamaanikathanu kaligi vundhi.	13	
గణేష్	1	Ganesh	1	
