جائیر	Jair
میں	mein
جرمن	German
خون	khoon
ان	un
کے	ke
والد	walid
کے	ke
پرنانا	parnana
کارل	Carl
"کارلوس"	"Carlos"
ہِٹز	Hintze
سے	se
آیا	aaya
ہے	hai
جو	jo
لگ	lag
بھگ	bhag
سنہ	san
1876ء	1876
کو	ko
ہم برک	Hamburg
میں	mein
پیدا	paida
ہوئے	huye
اور	aur
سنہ	san
1883ء	1883
میں	mein
برازیل	Brazil
ہجرت	hijrat
کر	kar
کے	ke
آ	aa
گئے	gaye
تھے۔	the.
</s>	</s>
انہوں	unhon
نے	ne
اندور	Indore
جاکر	jakar
وعظ	waz
و	wa
نصیحت	naseehat
دینا	dena
شروع	shuroo
کر	kar
دیا۔	diya.
</s>	</s>
عشر	ashr
چونکہ	chunke
پیداوار	paidawar
کی	ki
زکوٰۃ	zakat
ہے	hai
اس	is
لیے	liye
مال	maal
کے	ke
ساتھ	sath
پیداوار	paidawar
کا	ka
عشر	ashr
الگ	alag
نکالا	nikala
جاتا	jata
ہے۔	hai.
</s>	</s>
سائنسی	sciency
طور	taur
پر	par
ان	in
زلزلوں	zalzalon
کو	ko
ریکٹر	rector
سکیل	scale
یا	ya
مرکالی	markali
سکیل	scale
پر	par
ناپا	napa
جا تا	jata
ہے۔	hai.
</s>	</s>
شیخاؤ	Shekau
کی	ki
قیادت	qiyadat
میں	mein
بوکوحرام	Boko Haram
نے	ne
بم	bam
دھماکوں	dhamakon
اور	aur
اغوا	aghwa
کی	ki
وارداتوں	wardaton
کا	ka
سلسلہ	silsila
شروع	shuroo
کر	kar
رکھا	rakha
ہے۔	hai.
</s>	</s>
خود	Khud
انہیں	unhein
سبری ملا	Sabrimala
میں	mein
داخلے	dakhile
سے	se
روکا	roka
گیا	gaya
ہے۔	hai.
</s>	</s>
نئی	Nayi
معاشی	muashi
پالیسیوں	policiyon
کی	ki
وجہ	wajah
سے	se
بیرونی	berooni
سرمایہ	sarmaya
کاری	kari
بڑھنے	barhne
لگی۔	lagi.
</s>	</s>
کہکشاں	kahkashan
</s>	</s>
بعد	baad
ازاں	azaan
1948ء	1948
میں	mein
انہوں	unhon
نے	ne
فیض	Faiz
احمد	Ahmad
فیض	Faiz
کے	ke
ساتھ	sath
مل	mil
کر	kar
کمیونسٹ	Communist
پارٹی	Party
آف	of
پاکستان	Pakistan
کی	ki
بنیاد	buniyad
رکھی۔	rakhi.
</s>	</s>
تاریخ	Taarikh
پاک	Pak
و	wa
ہند	Hind
میں	mein
اس	is
کے	ke
بارے	baare
میں	mein
لکھا	likha
گیا	gaya
ہے	hai
کہ	ke
زیب النساء	Zaibun Nisa
نے	ne
عربی	Arabi
اور	aur
فارسی	Farsi
کی	ki
اعلٰی	aala
تعلیم	taaleem
حاصل	haasil
کرنے	karne
کے	ke
ساتھ	sath
ساتھ	sath
قرآن	Quran
پاک	Pak
بھی	bhi
حفظ	hifz
کیا۔	kiya.
</s>	</s>
نئے	naye
شمسی	shamsi
سال	saal
اور	aur
تیرہ	terah
سو	sau
ترانوے	tiranwe
سال	saal
کے	ke
آغاز	aaghaaz
کی	ki
مناسبت	munasibat
سے	se
تبریک	tabreek
وتہنیت	wa tahniyat
عرض	arz
کرتے	karte
ہوئے	huye
نئے	naye
سال	saal
اور	aur
عید	Eid
نوروز	Nauroz
کے	ke
پہلے	pahle
دن	din
ہم	ham
آپ	aap
سے	se
اس	is
کی	ki
تاریخ	taarikh
اور	aur
اسے	ise
وجود	wajood
میں	mein
لانے	lane
اور	aur
اب	ab
تک	tak
اسے	ise
باقی	baqi
رکھنے	rakhne
میں	mein
جن	jin
لوگوں	logon
نے	ne
مدد	madad
کی	ki
ہے	hai
گفتگو	guftagoo
کریں	karen
گے	ge
اور	aur
اس	us
قدیم	qadeem
اور	aur
ایرانی	Irani
جشن	jashn
اور	aur
تہوار	tahwaar
کے	ke
بارے	baare
میں	mein
جو	jo
نہ	na
صرف	sirf
کئی	kayi
صدیوں	sadiyon
سے	se
ایران	Iran
میں	mein
منایا	manaya
جاتاہے	jata hai
بلکہ	balki
اس	us
کے	ke
علل	alal
واسباب	wa asbaab
کی	ki
وجہ	wajah
سے	se
یہ	ye
جشن	jashn
دوسرے	doosre
ملکوں	mulkon
میں	mein
بھی	bhi
منایاجاتاہے ۔	manaya jata hai.
</s>	</s>
فہرست	fehrist
ایل	El
سیلواڈور	Salvador
کے	ke
دریا	dariya
</s>	</s>
کئی	kayi
کتابیں	kitabein
تصنیف	tasneef
کیں۔	keen.
</s>	</s>
آدمی	Aadmi
اگر	agar
ان	un
ابتدائی	ibtedayi
جوٹوں	jooton
ہی	hi
سے	se
ہوش	hosh
میں	mein
آ	aa
جائے	jaye
تو	to
اس	us
کے	ke
اپنے	apne
حق	haq
میں	mein
بہتر	behtar
ہے۔	hai
</s>	</s>
مدنپلی	Madanapalle
میں	mein
مقیم۔	muqeem.
</s>	</s>
12 دسمبر:	December:
میرون	Mervyn
لیزلی	Leslie
مڈلکوٹ،	Middlecoat,
وِنگ	Wing
کمانڈر	Commander
لیفٹیننٹ	lieutenant
کرنل	Colonel
پاک	Pak
فضائیہ۔	fizaiya 12
(پیدائش:	(Paidaish:
6	6
جولائی	July
1931ء)	1931)
</s>	</s>
وہ	wo
اہلِ	ahle
فسطاط	qustat
کے	ke
مشہور	mashhoor
طبیب	tabeeb
اور	aur
مؤرخ	maurikh
ہیں،	hain,
تیسری	teesri
صدی	sadi
ہجری	hijri
کو	ko
فسطاط	qustat
میں	mein
پیدا	paida
ہوئے	huye
اور	aur
علمِ	ilme
طب	tibb
میں	mein
ماہر	mahir
اور	aur
مشہور	mashhoor
ہوئے،	huye.
ابن	Ibn
ابی	Abi
اصیبعہ	Usaibia
ان	un
کے	ke
بارے	baare
میں	mein
لکھتے	likhte
ہیں:	hain:
“اپنے	"apne
زمانے	zamane
کے	ke
متقدمین	mutaqaddimeen
میں	mein
سے	se
تھے	the
اور	aur
علومِ	uloome
طب	tibb
کی	ki
خبر	khabar
رکھتے	rakhte
تھے”	the"
ورثے	wirse
میں	mein
کچھ	kuchh
تصانیف	tasaneef
چھوڑیں	chhoreen
جن	jin
میں	mein
سب	sab
سے	se
مشہور	mashhoor
ان	un
کی	ki
عام	aam
تاریخ	taarikh
“نظم	"nazm
الجواہر”	aljawahar"
ہے	hai
جو	jo
“تاریخ	"taarikh
ابن	ibn
البطریق”	Al-Batriq"
کے	ke
نام	naam
سے	se
بھی	bhi
مشہور	mashhoor
ہے،	hai.
ان	un
کی	ki
اس	is
کتاب	kitaab
سے	se
ابنِ	Ibne
خلدون	Khaldun
نے	ne
بھی	bhi
استفادہ	istefadah
کیا	kiya
تھا،	tha.
ان	Un
کی	ki
ایک	ek
اور	aur
طبی	tibbi
تصنیف	tasneef
کا	ka
نام	nam
“کناس	"kanas
فی	fit
الطب”	tibbb"
ہے۔	hai.
