جائیر میں جرمن خون ان کے والد کے پرنانا کارل "کارلوس" ہِٹز سے آیا ہے جو لگ بھگ سنہ	19	Jair mein German khoon un ke walid ke parnana Carl "Carlos" Hintze se aaya hai jo lag bhag san	19		
1876ء کو ہم برک میں پیدا ہوئے اور سنہ 1883ء میں برازیل ہجرت کر کے آ گئے تھے۔	18	1876 ko Hamburg mein paida huye aur san 1883 mein Brazil hijrat kar ke aa gaye the.	17	Incorrect: ہم برک, Correct: ہمبرگ	
انہوں نے اندور جاکر وعظ و نصیحت دینا شروع کر دیا۔	11	unhon ne Indore jakar waz wa naseehat dena shuroo kar diya.	11		
عشر چونکہ پیداوار کی زکوٰۃ ہے اس لیے مال کے ساتھ پیداوار کا عشر الگ نکالا جاتا ہے۔	18	ashr chunke paidawar ki zakat hai is liye maal ke sath paidawar ka ashr alag nikala jata hai.	18		
سائنسی طور پر ان زلزلوں کو ریکٹر سکیل یا مرکالی سکیل پر ناپا جا تا ہے۔	16	sciency taur par in zalzalon ko rector scale ya markali scale par napa jata hai.	15	Incorrect: جا تا, Correct: جاتا	
شیخاؤ کی قیادت میں بوکوحرام نے بم دھماکوں اور اغوا کی وارداتوں کا سلسلہ شروع کر رکھا ہے۔	18	Shekau ki qiyadat mein Boko Haram ne bam dhamakon aur aghwa ki wardaton ka silsila shuroo kar rakha hai.	19	Incorrect: بوکوحرام, Correct: بوکو حرام	
خود انہیں سبری ملا میں داخلے سے روکا گیا ہے۔	10	Khud unhein Sabrimala mein dakhile se roka gaya hai.	9	Incorrect: سبری ملا, Correct: سبریمالہ	
نئی معاشی پالیسیوں کی وجہ سے بیرونی سرمایہ کاری بڑھنے لگی۔	11	Nayi muashi policiyon ki wajah se berooni sarmaya kari barhne lagi.	11		
کہکشاں	1	kahkashan	1		
بعد ازاں 1948ء میں انہوں نے فیض احمد فیض کے ساتھ مل کر کمیونسٹ پارٹی آف پاکستان کی بنیاد رکھی۔	20	baad azaan 1948 mein unhon ne Faiz Ahmad Faiz ke sath mil kar Communist Party of Pakistan ki buniyad rakhi.	20		
تاریخ پاک و ہند میں اس کے بارے میں لکھا گیا ہے کہ زیب النساء نے	16	Taarikh Pak wa Hind mein is ke baare mein likha gaya hai ke Zaibun Nisa ne	16		
